_time,_value
2026-08-03T00:00:11.293Z,433.0
2026-08-03T00:00:16.197Z,431.7
2026-08-03T00:00:31.367Z,435.46
2026-08-03T00:00:46.43Z,435.46
2026-08-03T00:01:06.414Z,431.7
2026-08-03T00:01:27.166Z,431.91
2026-08-03T00:01:47.099Z,431.3
2026-08-03T00:02:06.804Z,432.74
2026-08-03T00:02:21.871Z,431.91
2026-08-03T00:02:36.955Z,434.78
2026-08-03T00:02:57.013Z,424.09
2026-08-03T00:03:12.139Z,432.74
2026-08-03T00:03:27.233Z,435.46
2026-08-03T00:03:42.728Z,420.14
2026-08-03T00:03:57.392Z,420.14
2026-08-03T00:04:12.459Z,420.14
2026-08-03T00:04:27Z,420.14
2026-08-03T00:04:27.597Z,420.14
2026-08-03T00:04:42.625Z,431.08
2026-08-03T00:04:57.685Z,422.16
2026-08-03T00:05:17.786Z,422.16
2026-08-03T00:05:34.359Z,431.08
2026-08-03T00:05:47.946Z,431.08
2026-08-03T00:06:08.044Z,427.68
2026-08-03T00:06:23.132Z,435.24
2026-08-03T00:06:38.185Z,427.68
2026-08-03T00:06:58.882Z,427.68
2026-08-03T00:07:18.441Z,431.66
2026-08-03T00:07:33.489Z,431.66
2026-08-03T00:07:53.554Z,427.68
2026-08-03T00:08:08.649Z,430.06
2026-08-03T00:08:23.706Z,430.06
2026-08-03T00:08:43.811Z,427.63
2026-08-03T00:08:58.896Z,427.63
2026-08-03T00:09:14.022Z,427.63
2026-08-03T00:09:28Z,425.51
2026-08-03T00:09:29.018Z,425.51
2026-08-03T00:09:44.108Z,421.28
2026-08-03T00:09:59.665Z,427.63
2026-08-03T00:10:14.22Z,427.63
2026-08-03T00:10:29.343Z,421.7
2026-08-03T00:10:44.44Z,427.63
2026-08-03T00:10:59.528Z,421.7
2026-08-03T00:11:14.668Z,418.36
2026-08-03T00:11:34.65Z,425.51
2026-08-03T00:11:54.723Z,425.51
2026-08-03T00:12:14.803Z,423.68
2026-08-03T00:12:30.005Z,423.68
2026-08-03T00:12:50.081Z,419.93
2026-08-03T00:13:05.152Z,419.93
2026-08-03T00:13:25.235Z,413.44
2026-08-03T00:13:45.32Z,415.65
2026-08-03T00:14:00.384Z,413.92
2026-08-03T00:14:15.487Z,411.99
2026-08-03T00:14:30Z,416.97
2026-08-03T00:14:30.642Z,416.97
2026-08-03T00:14:46.604Z,416.97
2026-08-03T00:15:10.428Z,411.99
2026-08-03T00:15:15.929Z,411.43
2026-08-03T00:15:31.074Z,413.42
2026-08-03T00:15:51.087Z,413.92
2026-08-03T00:16:06.153Z,413.92
2026-08-03T00:16:21.221Z,413.92
2026-08-03T00:16:36.312Z,413.42
2026-08-03T00:16:51.42Z,410.37
2026-08-03T00:17:06.46Z,417.36
2026-08-03T00:17:26.539Z,417.47
2026-08-03T00:17:41.643Z,413.42
2026-08-03T00:17:56.774Z,413.42
2026-08-03T00:18:11.801Z,407.95
2026-08-03T00:18:26.841Z,407.95
2026-08-03T00:18:41.915Z,417.65
2026-08-03T00:18:57.007Z,407.95
2026-08-03T00:19:12.073Z,407.95
2026-08-03T00:19:31Z,408.09
