_time,_value
2026-08-07T06:00:00Z,1
2026-08-07T06:00:00.444Z,1
2026-08-07T08:00:00Z,0
2026-08-07T08:00:02.93Z,0
2026-08-07T08:05:00Z,1
2026-08-07T08:05:00.517Z,1
2026-08-07T10:00:00Z,0
2026-08-07T10:00:01.898Z,0
2026-08-15T22:00:00Z,1
2026-08-15T22:00:17.124Z,1
2026-08-16T00:00:00Z,0
2026-08-16T00:00:05.608Z,0
2026-08-16T04:00:00Z,1
2026-08-16T04:00:12.776Z,1
2026-08-16T06:00:00Z,0
2026-08-16T06:00:01.574Z,0
2026-08-16T07:00:10Z,1
2026-08-16T07:00:14.672Z,1
2026-08-16T09:00:00Z,0
2026-08-16T09:00:05.055Z,0
2026-08-16T13:00:00Z,1
2026-08-16T13:00:14.419Z,1
2026-08-16T15:00:00Z,0
2026-08-16T15:00:14.286Z,0
2026-08-16T19:00:00Z,1
2026-08-16T19:00:14.667Z,1
2026-08-16T21:00:00Z,0
2026-08-16T21:00:14.355Z,0
2026-08-16T22:00:00Z,1
2026-08-16T22:00:14.12Z,1
2026-08-17T00:00:00Z,0
2026-08-17T00:00:04.306Z,0
2026-08-17T01:00:00Z,1
2026-08-17T01:00:13.32Z,1
2026-08-17T03:00:00Z,0
2026-08-17T03:00:01.709Z,0
2026-08-17T04:00:00Z,1
2026-08-17T04:00:16.207Z,1
2026-08-17T06:00:00Z,0
2026-08-17T06:00:04.548Z,0
2026-08-17T13:00:00Z,1
2026-08-17T13:00:01.828Z,1
2026-08-17T15:00:00Z,0
2026-08-17T15:00:01.808Z,0
2026-08-17T22:00:00Z,1
2026-08-17T22:00:00.537Z,1
2026-08-18T00:00:00Z,0
2026-08-18T00:00:00.836Z,0
2026-08-18T01:00:00Z,1
2026-08-18T01:00:01.039Z,1
2026-08-18T03:00:00Z,0
2026-08-18T03:00:01.868Z,0
2026-08-18T07:00:00Z,1
2026-08-18T07:00:13.012Z,1
2026-08-18T09:00:00Z,0
2026-08-18T09:00:11.845Z,0
2026-08-18T16:00:00Z,1
2026-08-18T16:00:10.328Z,1
2026-08-18T18:00:00Z,0
2026-08-18T18:00:03.901Z,0
2026-08-18T20:59:15Z,0
2026-08-18T21:00:16.067Z,0
2026-08-18T22:00:00Z,1
2026-08-18T22:00:02.508Z,1
2026-08-19T00:00:00Z,0
2026-08-19T00:00:08.699Z,0
2026-08-19T07:00:00Z,1
2026-08-19T07:00:02.225Z,1
2026-08-19T09:00:00Z,0
2026-08-19T09:00:00.558Z,0
2026-08-19T16:00:00Z,1
2026-08-19T16:00:13.425Z,1
2026-08-19T18:00:00Z,0
2026-08-19T18:00:02.54Z,0
2026-08-19T22:00:00Z,1
2026-08-19T22:00:13.693Z,1
2026-08-20T00:00:00Z,0
2026-08-20T00:00:07.019Z,0
2026-08-20T04:00:00Z,1
2026-08-20T04:00:00.531Z,1
2026-08-20T06:00:00Z,0
2026-08-20T06:00:01.254Z,0
2026-08-20T10:17:12Z,1
2026-08-20T10:17:19.343Z,1
2026-08-20T12:00:00Z,0
2026-08-20T12:00:12.389Z,0
2026-08-20T16:00:00Z,1
2026-08-20T16:00:04.729Z,1
2026-08-20T18:00:00Z,0
2026-08-20T18:00:04.595Z,0
2026-08-20T22:00:00Z,1
2026-08-20T22:00:04.499Z,1
2026-08-21T00:00:00Z,0
2026-08-21T00:00:04.583Z,0
2026-08-21T04:00:00Z,1
2026-08-21T04:00:06.047Z,1
2026-08-21T06:00:00Z,0
2026-08-21T06:00:15.284Z,0
2026-08-21T10:00:00Z,1
2026-08-21T10:00:05.692Z,1
2026-08-21T12:00:00Z,0
2026-08-21T12:00:15.051Z,0
2026-08-21T16:00:00Z,1
2026-08-21T16:00:13.171Z,1
2026-08-21T18:00:00Z,0
2026-08-21T18:00:11.336Z,0
2026-08-22T01:00:00Z,1
2026-08-22T01:00:15.535Z,1
2026-08-22T03:00:00Z,0
2026-08-22T03:00:14.052Z,0
2026-08-22T07:00:00Z,1
2026-08-22T07:00:05.861Z,1
2026-08-22T09:00:00Z,0
2026-08-22T09:00:05.171Z,0
2026-08-22T13:00:00Z,1
2026-08-22T13:00:13.202Z,1
2026-08-22T15:00:00Z,0
2026-08-22T15:00:15.999Z,0
2026-08-22T19:00:00Z,1
2026-08-22T19:00:04.914Z,1
2026-08-22T21:00:00Z,0
2026-08-22T21:00:06.01Z,0
2026-08-23T01:00:10Z,1
2026-08-23T01:00:14.88Z,1
2026-08-23T03:00:00Z,0
2026-08-23T03:00:12.01Z,0
2026-08-23T07:00:10Z,1
2026-08-23T07:00:15.024Z,1
2026-08-23T09:00:00Z,0
2026-08-23T09:00:03.814Z,0
2026-08-23T13:00:00Z,1
2026-08-23T13:00:10.919Z,1
2026-08-23T15:00:00Z,0
2026-08-23T15:00:02.561Z,0
2026-08-23T19:00:00Z,1
2026-08-23T19:00:11.805Z,1
2026-08-23T21:00:00Z,0
2026-08-23T21:00:05.327Z,0
2026-08-24T01:00:00Z,1
2026-08-24T01:00:05.663Z,1
2026-08-24T03:00:00Z,0
2026-08-24T03:00:05.382Z,0
2026-08-24T07:00:00Z,1
2026-08-24T07:00:15.164Z,1
2026-08-24T09:00:00Z,0
2026-08-24T09:00:14.311Z,0
2026-08-24T13:00:00Z,1
2026-08-24T13:00:07.015Z,1
2026-08-24T15:00:00Z,0
2026-08-24T15:00:02.465Z,0
2026-08-24T19:00:00Z,1
2026-08-24T19:00:13.363Z,1
2026-08-24T21:00:00Z,0
2026-08-24T21:00:11.085Z,0
2026-08-25T01:00:00Z,1
2026-08-25T01:00:14.514Z,1
2026-08-25T03:00:00Z,0
2026-08-25T03:00:06.12Z,0
2026-08-25T07:00:00Z,1
2026-08-25T07:00:14.117Z,1
2026-08-25T09:00:00Z,0
