_time,_value
2026-08-07T16:00:00Z,10
2026-08-07T16:00:12.149Z,10
2026-08-07T16:00:12.206Z,10
2026-08-07T16:14:08Z,0
2026-08-07T16:14:11.882Z,0
2026-08-07T16:14:11.941Z,0
2026-08-07T16:29:27Z,10
2026-08-07T16:29:30.371Z,10
2026-08-07T16:29:30.444Z,10
2026-08-07T20:00:00Z,0
2026-08-07T20:00:02.706Z,0
2026-08-07T20:00:02.768Z,0
2026-08-13T16:00:00Z,5
2026-08-13T16:00:12.103Z,5
2026-08-13T16:00:12.143Z,5
2026-08-13T18:00:00Z,0
2026-08-13T18:00:11.943Z,0
2026-08-13T18:00:11.976Z,0
2026-08-13T19:00:00Z,8
2026-08-13T19:00:02.972Z,8
2026-08-13T19:00:03.043Z,8
2026-08-13T21:00:00Z,0
2026-08-13T21:00:04.116Z,0
2026-08-13T21:00:04.206Z,0
2026-08-13T22:00:00Z,2
2026-08-13T22:00:02.809Z,2
2026-08-13T22:00:02.882Z,2
2026-08-14T00:00:00Z,0
2026-08-14T00:00:02.969Z,0
2026-08-14T00:00:03.035Z,0
2026-08-14T01:00:00Z,10
2026-08-14T01:00:12.649Z,10
2026-08-14T01:00:12.681Z,10
2026-08-14T03:00:00Z,0
2026-08-14T03:00:12.735Z,0
2026-08-14T03:00:12.769Z,0
2026-08-14T07:00:00Z,10
2026-08-14T07:00:03.181Z,10
2026-08-14T07:00:03.255Z,10
2026-08-14T09:00:00Z,0
2026-08-14T09:00:02.809Z,0
2026-08-14T09:00:02.87Z,0
2026-08-14T10:00:00Z,8
2026-08-14T10:00:02.826Z,8
2026-08-14T10:00:02.9Z,8
2026-08-14T10:40:55Z,0
2026-08-14T10:40:59.607Z,0
2026-08-14T10:40:59.68Z,0
2026-08-14T10:55:07Z,8
2026-08-14T10:55:15.792Z,8
2026-08-14T10:55:15.866Z,8
2026-08-14T11:24:08Z,0
2026-08-14T11:24:12.83Z,0
2026-08-14T11:24:12.903Z,0
2026-08-14T11:37:32Z,8
2026-08-14T11:37:37.186Z,8
2026-08-14T11:37:37.265Z,8
2026-08-14T12:00:00Z,0
2026-08-14T12:00:02.65Z,0
2026-08-14T12:00:02.718Z,0
2026-08-14T13:11:00Z,5
2026-08-14T13:11:04.304Z,5
2026-08-14T13:11:04.371Z,5
2026-08-14T13:36:37Z,0
2026-08-14T13:36:41.33Z,0
2026-08-14T13:36:41.393Z,0
2026-08-14T13:54:07Z,5
2026-08-14T13:54:12.869Z,5
2026-08-14T13:54:12.939Z,5
2026-08-14T14:21:16Z,0
2026-08-14T14:21:20.2Z,0
2026-08-14T14:21:20.271Z,0
2026-08-14T14:39:45Z,5
2026-08-14T14:39:49.365Z,5
2026-08-14T14:39:49.435Z,5
2026-08-14T15:00:00Z,0
2026-08-14T15:00:02.999Z,0
2026-08-14T15:00:03.066Z,0
2026-08-14T16:00:00Z,2
2026-08-14T16:00:03.553Z,2
2026-08-14T16:00:03.667Z,2
2026-08-14T18:00:00Z,0
2026-08-14T18:00:01.958Z,0
2026-08-14T18:00:02.04Z,0
2026-08-14T22:00:00Z,5
2026-08-14T22:00:13.324Z,5
2026-08-14T22:00:13.353Z,5
2026-08-15T00:00:00Z,0
2026-08-15T00:00:14.843Z,0
2026-08-15T00:00:14.885Z,0
2026-08-15T01:00:00Z,2
2026-08-15T01:00:11.337Z,2
2026-08-15T01:00:11.387Z,2
2026-08-15T03:00:00Z,0
2026-08-15T03:00:02.609Z,0
2026-08-15T03:00:02.686Z,0
2026-08-15T04:00:00Z,8
2026-08-15T04:00:02.687Z,8
2026-08-15T04:00:02.775Z,8
2026-08-15T06:00:00Z,0
2026-08-15T06:00:03.07Z,0
2026-08-15T06:00:03.157Z,0
2026-08-15T07:00:00Z,10
2026-08-15T07:00:16.908Z,10
2026-08-15T07:00:16.942Z,10
2026-08-15T09:00:00Z,0
2026-08-15T09:00:02.856Z,0
2026-08-15T09:00:02.991Z,0
2026-08-15T22:00:00Z,10
2026-08-15T22:00:06.068Z,10
2026-08-15T22:00:06.136Z,10
2026-08-16T00:00:00Z,0
2026-08-16T00:00:03.567Z,0
2026-08-16T00:00:03.651Z,0
2026-08-16T01:00:00Z,10
2026-08-16T01:00:02.571Z,10
2026-08-16T01:00:02.645Z,10
2026-08-16T03:00:00Z,0
2026-08-16T03:00:04.854Z,0
2026-08-16T03:00:04.937Z,0
2026-08-16T07:00:10Z,10
2026-08-16T07:00:14.124Z,10
2026-08-16T07:00:14.2Z,10
2026-08-16T09:00:00Z,0
2026-08-16T09:00:03.066Z,0
2026-08-16T09:00:03.147Z,0
2026-08-16T10:00:00Z,10
2026-08-16T10:00:13.847Z,10
2026-08-16T10:00:13.88Z,10
2026-08-16T12:00:00Z,0
2026-08-16T12:00:03.46Z,0
2026-08-16T12:00:03.533Z,0
2026-08-16T13:00:00Z,10
2026-08-16T13:00:14.359Z,10
2026-08-16T13:00:14.389Z,10
2026-08-16T15:00:00Z,0
2026-08-16T15:00:13.97Z,0
2026-08-16T15:00:14.004Z,0
2026-08-16T19:00:00Z,10
2026-08-16T19:00:14.463Z,10
2026-08-16T19:00:14.495Z,10
2026-08-16T21:00:00Z,0
2026-08-16T21:00:14.292Z,0
2026-08-16T21:00:14.325Z,0
2026-08-16T22:00:00Z,10
2026-08-16T22:00:13.032Z,10
2026-08-16T22:00:13.101Z,10
2026-08-17T00:00:00Z,0
2026-08-17T00:00:03.73Z,0
2026-08-17T00:00:03.799Z,0
2026-08-17T04:00:00Z,10
2026-08-17T04:00:16.066Z,10
2026-08-17T04:00:16.098Z,10
2026-08-17T06:00:00Z,0
2026-08-17T06:00:04.12Z,0
