_time,_value
2026-08-07T16:00:00Z,10
2026-08-07T16:00:12.263Z,10
2026-08-07T16:00:12.321Z,10
2026-08-07T16:14:08Z,0
2026-08-07T16:14:11.752Z,0
2026-08-07T16:14:11.818Z,0
2026-08-07T16:29:27Z,10
2026-08-07T16:29:30.948Z,10
2026-08-07T16:29:31.01Z,10
2026-08-07T20:00:00Z,0
2026-08-07T20:00:03.263Z,0
2026-08-07T20:00:03.324Z,0
2026-08-13T16:00:00Z,5
2026-08-13T16:00:12.031Z,5
2026-08-13T16:00:12.067Z,5
2026-08-13T18:00:00Z,0
2026-08-13T18:00:12.165Z,0
2026-08-13T18:00:12.195Z,0
2026-08-13T19:00:00Z,8
2026-08-13T19:00:03.24Z,8
2026-08-13T19:00:03.312Z,8
2026-08-13T21:00:00Z,0
2026-08-13T21:00:04.362Z,0
2026-08-13T21:00:04.427Z,0
2026-08-13T22:00:00Z,2
2026-08-13T22:00:03.302Z,2
2026-08-13T22:00:03.371Z,2
2026-08-14T00:00:00Z,0
2026-08-14T00:00:02.815Z,0
2026-08-14T00:00:02.896Z,0
2026-08-14T01:00:00Z,10
2026-08-14T01:00:12.589Z,10
2026-08-14T01:00:12.618Z,10
2026-08-14T03:00:00Z,0
2026-08-14T03:00:12.801Z,0
2026-08-14T03:00:12.834Z,0
2026-08-14T07:00:00Z,10
2026-08-14T07:00:03.336Z,10
2026-08-14T07:00:03.394Z,10
2026-08-14T09:00:00Z,0
2026-08-14T09:00:03.016Z,0
2026-08-14T09:00:03.081Z,0
2026-08-14T10:00:00Z,8
2026-08-14T10:00:03.387Z,8
2026-08-14T10:00:03.453Z,8
2026-08-14T10:40:55Z,0
2026-08-14T10:40:59.82Z,0
2026-08-14T10:40:59.895Z,0
2026-08-14T10:55:07Z,8
2026-08-14T10:55:16.334Z,8
2026-08-14T10:55:16.402Z,8
2026-08-14T11:24:08Z,0
2026-08-14T11:24:12.676Z,0
2026-08-14T11:24:12.754Z,0
2026-08-14T11:37:32Z,8
2026-08-14T11:37:37.474Z,8
2026-08-14T11:37:37.551Z,8
2026-08-14T12:00:00Z,0
2026-08-14T12:00:03.189Z,0
2026-08-14T12:00:03.26Z,0
2026-08-14T13:11:00Z,5
2026-08-14T13:11:04.138Z,5
2026-08-14T13:11:04.232Z,5
2026-08-14T13:36:37Z,0
2026-08-14T13:36:41.185Z,0
2026-08-14T13:36:41.253Z,0
2026-08-14T13:54:07Z,5
2026-08-14T13:54:12.729Z,5
2026-08-14T13:54:12.799Z,5
2026-08-14T14:21:16Z,0
2026-08-14T14:21:20.903Z,0
2026-08-14T14:21:20.977Z,0
2026-08-14T14:39:45Z,5
2026-08-14T14:39:49.214Z,5
2026-08-14T14:39:49.287Z,5
2026-08-14T15:00:00Z,0
2026-08-14T15:00:02.855Z,0
2026-08-14T15:00:02.929Z,0
2026-08-14T16:00:00Z,2
2026-08-14T16:00:03.367Z,2
2026-08-14T16:00:03.44Z,2
2026-08-14T18:00:00Z,0
2026-08-14T18:00:03.219Z,0
2026-08-14T18:00:03.285Z,0
2026-08-14T22:00:00Z,5
2026-08-14T22:00:13.462Z,5
2026-08-14T22:00:13.492Z,5
2026-08-15T00:00:00Z,0
2026-08-15T00:00:14.936Z,0
2026-08-15T00:00:14.966Z,0
2026-08-15T01:00:00Z,2
2026-08-15T01:00:11.543Z,2
2026-08-15T01:00:11.575Z,2
2026-08-15T03:00:00Z,0
2026-08-15T03:00:03.233Z,0
2026-08-15T03:00:03.32Z,0
2026-08-15T04:00:00Z,8
2026-08-15T04:00:03.242Z,8
2026-08-15T04:00:03.318Z,8
2026-08-15T06:00:00Z,0
2026-08-15T06:00:02.931Z,0
2026-08-15T06:00:03Z,0
2026-08-15T07:00:00Z,10
