_time,_value
2026-08-03T00:00:11.293Z,-0.44
2026-08-03T00:00:16.197Z,-0.44
2026-08-03T00:00:31.367Z,-0.23
2026-08-03T00:00:46.43Z,-0.23
2026-08-03T00:01:06.414Z,-0.27
2026-08-03T00:01:27.166Z,-0.32
2026-08-03T00:01:47.099Z,-0.32
2026-08-03T00:02:06.804Z,-0.32
2026-08-03T00:02:21.871Z,-0.32
2026-08-03T00:02:36.955Z,-0.37
2026-08-03T00:02:57.013Z,-0.37
2026-08-03T00:03:12.139Z,-0.14
2026-08-03T00:03:27.233Z,-0.14
2026-08-03T00:03:42.728Z,-0.14
2026-08-03T00:03:57.392Z,-0.02
2026-08-03T00:04:12.459Z,-0.35
2026-08-03T00:04:27Z,-0.35
2026-08-03T00:04:27.597Z,-0.35
2026-08-03T00:04:42.625Z,-0.02
2026-08-03T00:04:57.685Z,-0.02
2026-08-03T00:05:17.786Z,-0.02
2026-08-03T00:05:34.359Z,-0.21
2026-08-03T00:05:47.946Z,-0.21
2026-08-03T00:06:08.044Z,-0.3
2026-08-03T00:06:23.132Z,-0.3
2026-08-03T00:06:38.185Z,-0.3
2026-08-03T00:06:58.882Z,-0.3
2026-08-03T00:07:18.441Z,-0.22
2026-08-03T00:07:33.489Z,-0.17
2026-08-03T00:07:53.554Z,-0.17
2026-08-03T00:08:08.649Z,-0.14
2026-08-03T00:08:23.706Z,-0.14
2026-08-03T00:08:43.811Z,-0.32
2026-08-03T00:08:58.896Z,-0.32
2026-08-03T00:09:14.022Z,-0.32
2026-08-03T00:09:28Z,-0.32
2026-08-03T00:09:29.018Z,-0.32
2026-08-03T00:09:44.108Z,-0.3
2026-08-03T00:09:59.665Z,-0.3
2026-08-03T00:10:14.22Z,-0.16
2026-08-03T00:10:29.343Z,-0.16
2026-08-03T00:10:44.44Z,-0.16
2026-08-03T00:10:59.528Z,-0.16
2026-08-03T00:11:14.668Z,-0.16
2026-08-03T00:11:34.65Z,-0.36
2026-08-03T00:11:54.723Z,-0.09
2026-08-03T00:12:14.803Z,-0.09
2026-08-03T00:12:30.005Z,-0.09
2026-08-03T00:12:50.081Z,-0.01
2026-08-03T00:13:05.152Z,-0.01
2026-08-03T00:13:25.235Z,-0.1
2026-08-03T00:13:45.32Z,-0.1
2026-08-03T00:14:00.384Z,-0.23
2026-08-03T00:14:15.487Z,-0.23
2026-08-03T00:14:30Z,0.0
2026-08-03T00:14:30.642Z,0.0
2026-08-03T00:14:46.604Z,0.0
2026-08-03T00:15:10.428Z,0.0
2026-08-03T00:15:15.929Z,-0.32
2026-08-03T00:15:31.074Z,-0.24
2026-08-03T00:15:51.087Z,-0.24
2026-08-03T00:16:06.153Z,-0.24
2026-08-03T00:16:21.221Z,-0.23
2026-08-03T00:16:36.312Z,-0.23
2026-08-03T00:16:51.42Z,-0.34
2026-08-03T00:17:06.46Z,-0.34
2026-08-03T00:17:26.539Z,-0.34
2026-08-03T00:17:41.643Z,-0.07
2026-08-03T00:17:56.774Z,-0.07
2026-08-03T00:18:11.801Z,-0.07
2026-08-03T00:18:26.841Z,-0.1
2026-08-03T00:18:41.915Z,-0.1
2026-08-03T00:18:57.007Z,-0.28
2026-08-03T00:19:12.073Z,-0.28
2026-08-03T00:19:31Z,-0.28
2026-08-03T00:19:32.189Z,-0.28
2026-08-03T00:19:52.228Z,-0.28
2026-08-03T00:20:11.12Z,-0.28
2026-08-03T00:20:27.44Z,-0.17
2026-08-03T00:20:47.451Z,-0.17
2026-08-03T00:21:03.724Z,-0.13
2026-08-03T00:21:17.697Z,-0.13
2026-08-03T00:21:32.848Z,0.02
2026-08-03T00:21:47.739Z,0.02
2026-08-03T00:22:07.958Z,0.02
2026-08-03T00:22:22.902Z,-0.3
2026-08-03T00:22:37.999Z,-0.3
2026-08-03T00:22:53.049Z,-0.3
2026-08-03T00:23:08.143Z,-0.19
2026-08-03T00:23:28.195Z,-0.19
2026-08-03T00:23:51.686Z,-0.23
2026-08-03T00:24:03.358Z,-0.23
2026-08-03T00:24:18.482Z,-0.38
2026-08-03T00:24:33Z,-0.38
2026-08-03T00:24:33.519Z,-0.38
2026-08-03T00:24:48.58Z,-0.35
2026-08-03T00:25:12.573Z,-0.23
2026-08-03T00:25:18.721Z,-0.23
2026-08-03T00:25:34.503Z,-0.15
2026-08-03T00:25:48.921Z,-0.15
2026-08-03T00:26:03.935Z,-0.15
2026-08-03T00:26:19.055Z,-0.38
2026-08-03T00:26:34.113Z,-0.38
2026-08-03T00:26:54.193Z,-0.19
2026-08-03T00:27:09.259Z,-0.19
2026-08-03T00:27:24.365Z,-0.21
2026-08-03T00:27:39.785Z,-0.21
2026-08-03T00:27:54.571Z,-0.21
2026-08-03T00:28:09.642Z,-0.13
2026-08-03T00:28:24.704Z,-0.13
2026-08-03T00:28:44.781Z,-0.13
2026-08-03T00:28:59.865Z,-0.12
2026-08-03T00:29:19.956Z,-0.12
2026-08-03T00:29:34Z,0.01
2026-08-03T00:29:35.053Z,0.01
2026-08-03T00:29:50.136Z,0.01
2026-08-03T00:30:09.06Z,-0.27
2026-08-03T00:30:25.339Z,-0.27
2026-08-03T00:30:40.425Z,-0.34
2026-08-03T00:31:00.517Z,-0.34
2026-08-03T00:31:15.59Z,-0.34
2026-08-03T00:31:30.623Z,-0.05
2026-08-03T00:31:50.679Z,-0.24
2026-08-03T00:32:06.193Z,-0.24
2026-08-03T00:32:20.854Z,-0.24
2026-08-03T00:32:35.912Z,-0.24
2026-08-03T00:32:55.999Z,-0.17
2026-08-03T00:33:16.751Z,-0.17
2026-08-03T00:33:31.243Z,-0.22
2026-08-03T00:33:46.341Z,-0.07
2026-08-03T00:34:02.55Z,-0.07
2026-08-03T00:34:17.318Z,-0.07
2026-08-03T00:34:36Z,-0.21
2026-08-03T00:34:36.641Z,-0.21
2026-08-03T00:34:57.406Z,-0.25
2026-08-03T00:35:12.694Z,-0.08
2026-08-03T00:35:27.18Z,-0.08
2026-08-03T00:35:42.322Z,-0.24
2026-08-03T00:36:05.112Z,-0.24
2026-08-03T00:36:17.424Z,-0.28
2026-08-03T00:36:32.497Z,-0.28
2026-08-03T00:36:47.566Z,-0.35
2026-08-03T00:37:02.796Z,-0.35
2026-08-03T00:37:22.714Z,-0.1
2026-08-03T00:37:42.789Z,-0.29
2026-08-03T00:37:57.87Z,-0.29
2026-08-03T00:38:13.334Z,-0.29
2026-08-03T00:38:28.02Z,-0.29
2026-08-03T00:38:48.108Z,-0.22
2026-08-03T00:39:08.211Z,-0.22
2026-08-03T00:39:27Z,-0.1
2026-08-03T00:39:28.729Z,-0.1
2026-08-03T00:39:48.342Z,-0.17
2026-08-03T00:40:11.403Z,-0.17
2026-08-03T00:40:18.551Z,-0.17
2026-08-03T00:40:34.012Z,-0.13
2026-08-03T00:40:48.912Z,-0.13
2026-08-03T00:41:03.812Z,-0.1
2026-08-03T00:41:18.899Z,-0.1
2026-08-03T00:41:34.275Z,-0.16
2026-08-03T00:41:49.052Z,-0.16
2026-08-03T00:42:04.096Z,-0.09
2026-08-03T00:42:19.214Z,-0.09
2026-08-03T00:42:34.439Z,-0.28
2026-08-03T00:42:54.336Z,-0.28
2026-08-03T00:43:09.424Z,-0.28
2026-08-03T00:43:24.491Z,-0.15
2026-08-03T00:43:39.575Z,-0.15
2026-08-03T00:43:59.659Z,-0.27
2026-08-03T00:44:14.704Z,-0.27
2026-08-03T00:44:34Z,-0.22
2026-08-03T00:44:34.805Z,-0.22
2026-08-03T00:44:49.954Z,-0.13
2026-08-03T00:45:12.607Z,-0.13
2026-08-03T00:45:20.374Z,-0.13
