_time,_value
2026-08-06T06:00:00Z,1
2026-08-06T06:00:00.565Z,1
2026-08-06T06:00:00.611Z,1
2026-08-06T10:00:00Z,0
2026-08-06T10:00:00.866Z,0
2026-08-06T10:00:00.912Z,0
2026-08-15T22:00:00Z,1
2026-08-15T22:00:17.415Z,1
2026-08-15T22:00:17.492Z,1
2026-08-16T00:00:00Z,0
2026-08-16T00:00:14.726Z,0
2026-08-16T00:00:14.764Z,0
2026-08-16T01:00:00Z,1
2026-08-16T01:00:15.96Z,1
2026-08-16T01:00:16.009Z,1
2026-08-16T03:00:00Z,0
2026-08-16T03:00:04.999Z,0
2026-08-16T03:00:05.078Z,0
2026-08-16T04:00:00Z,1
2026-08-16T04:00:12.945Z,1
2026-08-16T04:00:12.976Z,1
2026-08-16T06:00:00Z,0
2026-08-16T06:00:01.796Z,0
2026-08-16T06:00:01.877Z,0
2026-08-16T13:00:00Z,1
2026-08-16T13:00:14.572Z,1
2026-08-16T13:00:14.605Z,1
2026-08-16T15:00:00Z,0
2026-08-16T15:00:14.627Z,0
2026-08-16T15:00:14.66Z,0
2026-08-17T01:00:00Z,1
2026-08-17T01:00:13.493Z,1
2026-08-17T01:00:13.524Z,1
2026-08-17T03:00:00Z,0
2026-08-17T03:00:02.4Z,0
2026-08-17T03:00:02.475Z,0
2026-08-17T04:00:00Z,1
2026-08-17T04:00:16.563Z,1
2026-08-17T04:00:16.607Z,1
2026-08-17T06:00:00Z,0
2026-08-17T06:00:05.498Z,0
2026-08-17T06:00:05.572Z,0
2026-08-17T10:00:00Z,1
2026-08-17T10:00:03.872Z,1
2026-08-17T10:00:04.001Z,1
2026-08-17T12:00:00Z,0
2026-08-17T12:00:14.302Z,0
2026-08-17T12:00:14.345Z,0
2026-08-17T16:00:10Z,1
2026-08-17T16:00:15.76Z,1
2026-08-17T16:00:15.791Z,1
2026-08-17T18:00:00Z,0
2026-08-17T18:00:01.015Z,0
2026-08-17T18:00:01.102Z,0
2026-08-18T01:00:00Z,1
2026-08-18T01:00:00.633Z,1
2026-08-18T01:00:00.763Z,1
2026-08-18T03:00:00Z,0
2026-08-18T03:00:01.471Z,0
2026-08-18T03:00:01.551Z,0
2026-08-18T10:00:00Z,1
2026-08-18T10:00:15.56Z,1
2026-08-18T10:00:15.594Z,1
2026-08-18T12:00:00Z,0
2026-08-18T12:00:16.713Z,0
2026-08-18T12:00:16.754Z,0
2026-08-18T13:00:00Z,1
2026-08-18T13:00:13.191Z,1
2026-08-18T13:00:13.245Z,1
2026-08-18T15:00:00Z,0
2026-08-18T15:00:01.773Z,0
2026-08-18T15:00:01.86Z,0
2026-08-18T16:00:00Z,1
2026-08-18T16:00:10.989Z,1
2026-08-18T16:00:11.062Z,1
2026-08-18T18:00:00Z,0
2026-08-18T18:00:04.644Z,0
2026-08-18T18:00:04.722Z,0
2026-08-18T19:00:00Z,1
2026-08-18T19:00:02.034Z,1
2026-08-18T19:00:02.167Z,1
2026-08-18T21:00:00Z,0
2026-08-18T21:01:00.97Z,0
2026-08-18T21:01:01.007Z,0
2026-08-19T01:00:00Z,1
2026-08-19T01:00:12.763Z,1
2026-08-19T01:00:12.805Z,1
2026-08-19T03:00:00Z,0
2026-08-19T03:00:14.756Z,0
2026-08-19T03:00:14.79Z,0
2026-08-19T14:01:50Z,1
2026-08-19T14:01:53.216Z,1
2026-08-19T14:01:53.254Z,1
2026-08-19T15:00:00Z,0
2026-08-19T15:00:00.96Z,0
2026-08-19T15:00:01.049Z,0
2026-08-19T16:00:00Z,1
2026-08-19T16:00:13.352Z,1
2026-08-19T16:00:13.383Z,1
2026-08-19T18:00:00Z,0
2026-08-19T18:00:02.214Z,0
2026-08-19T18:00:02.308Z,0
2026-08-19T22:00:00Z,1
2026-08-19T22:00:14.357Z,1
2026-08-19T22:00:14.453Z,1
2026-08-20T00:00:00Z,0
2026-08-20T00:00:07.363Z,0
2026-08-20T00:00:16.26Z,0
2026-08-20T07:00:00Z,1
2026-08-20T07:00:17.209Z,1
2026-08-20T07:00:17.242Z,1
2026-08-20T09:00:00Z,0
2026-08-20T09:00:16.307Z,0
2026-08-20T09:00:16.348Z,0
2026-08-20T10:17:12Z,1
2026-08-20T10:17:20.039Z,1
2026-08-20T10:17:20.135Z,1
2026-08-20T12:00:00Z,0
2026-08-20T12:00:14.381Z,0
2026-08-20T12:00:14.476Z,0
2026-08-20T19:00:10Z,1
2026-08-20T19:00:15.645Z,1
2026-08-20T19:00:15.737Z,1
2026-08-20T21:00:00Z,0
2026-08-20T21:00:06.998Z,0
2026-08-20T21:00:07.109Z,0
2026-08-20T22:00:00Z,1
2026-08-20T22:00:05.083Z,1
2026-08-20T22:00:05.198Z,1
2026-08-21T00:00:00Z,0
2026-08-21T00:00:16.726Z,0
2026-08-21T00:00:16.755Z,0
2026-08-21T07:00:00Z,1
2026-08-21T07:00:16.842Z,1
2026-08-21T07:00:16.938Z,1
2026-08-21T09:00:00Z,0
2026-08-21T09:00:17.643Z,0
2026-08-21T09:00:17.689Z,0
2026-08-21T10:00:00Z,1
2026-08-21T10:00:17.972Z,1
2026-08-21T10:00:18.011Z,1
