_time,_value
2026-08-01T00:04:09.029Z,0.1
2026-08-01T00:04:15.869Z,0.33
2026-08-01T00:04:23.015Z,0.33
2026-08-01T00:04:32.894Z,0.33
2026-08-01T00:04:41.062Z,0.18
2026-08-01T00:04:49.91Z,0.25
2026-08-01T00:04:57.01Z,0.41
2026-08-01T00:05:12.615Z,0.35
2026-08-01T00:05:16.02Z,0.58
2026-08-01T00:05:23.13Z,0.75
2026-08-01T00:05:30.956Z,0.52
2026-08-01T00:05:40.816Z,0.88
2026-08-01T00:05:47.016Z,0.9
2026-08-01T00:05:55.102Z,0.29
2026-08-01T00:06:03.03Z,0.16
2026-08-01T00:06:11.757Z,0.29
2026-08-01T00:06:19.04Z,0.21
2026-08-01T00:06:27.172Z,0.04
2026-08-01T00:06:36.007Z,0.0
2026-08-01T00:06:49.178Z,0.5
2026-08-01T00:06:57.073Z,0.02
2026-08-01T00:07:06.205Z,0.33
2026-08-01T00:07:14.058Z,0.13
2026-08-01T00:07:22.394Z,0.0
2026-08-01T00:07:58.29Z,0.0
2026-08-01T00:17:12.071Z,0.42
2026-08-01T00:17:19.694Z,0.63
2026-08-01T00:17:27.79Z,0.81
2026-08-01T00:17:36.884Z,0.5
2026-08-01T00:17:44.731Z,0.27
2026-08-01T00:17:54.315Z,0.0
2026-08-01T00:19:34.975Z,0.0
2026-08-01T00:19:50.053Z,0.04
2026-08-01T00:19:57.989Z,0.0
2026-08-01T00:21:02.684Z,0.12
2026-08-01T00:21:09.065Z,0.84
2026-08-01T00:21:15.905Z,0.94
2026-08-01T00:21:23.005Z,0.48
2026-08-01T00:21:30.917Z,0.6
2026-08-01T00:21:39.042Z,0.44
2026-08-01T00:21:45.922Z,0.21
2026-08-01T00:21:53.031Z,0.46
2026-08-01T00:22:02.483Z,0.52
2026-08-01T00:22:10.566Z,0.52
2026-08-01T00:22:20.071Z,0.5
2026-08-01T00:22:28.09Z,0.65
2026-08-01T00:22:35.044Z,0.73
2026-08-01T00:22:42.179Z,0.79
2026-08-01T00:22:52.869Z,0.48
2026-08-01T00:22:58.173Z,0.37
2026-08-01T00:23:06.337Z,0.69
2026-08-01T00:23:15.201Z,0.9
2026-08-01T00:23:23.075Z,0.5
2026-08-01T00:23:31.203Z,0.31
2026-08-01T00:23:40.068Z,0.1
2026-08-01T00:23:51.231Z,0.13
2026-08-01T00:23:59.113Z,0.67
2026-08-01T00:24:07.285Z,0.9
2026-08-01T00:24:15.345Z,0.77
2026-08-01T00:24:23.115Z,0.44
2026-08-01T00:24:31.244Z,0.13
2026-08-01T00:24:40.128Z,0.0
2026-08-01T00:24:48.266Z,0.0
2026-08-01T00:24:55.152Z,0.1
2026-08-01T00:25:08.619Z,0.0
2026-08-01T00:26:31.276Z,0.35
2026-08-01T00:26:39.368Z,0.5
2026-08-01T00:26:47.212Z,0.86
2026-08-01T00:26:58.713Z,0.86
2026-08-01T00:27:04.445Z,0.88
2026-08-01T00:27:12.989Z,0.82
2026-08-01T00:27:20.365Z,0.81
2026-08-01T00:27:28.455Z,0.63
2026-08-01T00:27:36.342Z,0.23
2026-08-01T00:27:47.622Z,0.0
2026-08-01T00:33:09.574Z,0.21
2026-08-01T00:33:17.663Z,0.0
2026-08-01T00:35:59.979Z,0.35
2026-08-01T00:36:06.986Z,0.52
2026-08-01T00:36:17.815Z,0.54
2026-08-01T00:36:25.924Z,0.37
2026-08-01T00:36:34.811Z,0.44
2026-08-01T00:36:44.915Z,0.33
2026-08-01T00:36:52.032Z,0.42
2026-08-01T00:36:59.671Z,0.41
2026-08-01T00:37:07.009Z,0.16
2026-08-01T00:37:14.881Z,0.12
2026-08-01T00:37:21.997Z,0.16
2026-08-01T00:37:30.077Z,0.13
2026-08-01T00:37:37.037Z,0.37
2026-08-01T00:37:44.92Z,0.13
2026-08-01T00:37:54.856Z,0.16
2026-08-01T00:38:02.677Z,0.0
2026-08-01T00:40:35.132Z,0.25
2026-08-01T00:40:45.862Z,0.0
2026-08-01T00:41:48.228Z,0.2
2026-08-01T00:41:56.176Z,0.0
2026-08-01T00:42:07.254Z,0.0
2026-08-01T00:42:21.16Z,0.04
2026-08-01T00:42:32.317Z,0.04
2026-08-01T00:42:41.189Z,0.13
2026-08-01T00:42:48.282Z,0.54
2026-08-01T00:42:56.333Z,0.35
2026-08-01T00:43:05.083Z,0.46
2026-08-01T00:43:10.293Z,0.27
2026-08-01T00:43:18.379Z,0.08
2026-08-01T00:43:26.268Z,0.0
2026-08-01T00:46:02.466Z,0.0
2026-08-01T00:46:49.466Z,0.35
2026-08-01T00:46:57.61Z,0.39
2026-08-01T00:47:06.166Z,0.0
2026-08-01T00:50:19.616Z,0.0
2026-08-01T00:55:23.056Z,0.02
2026-08-01T00:55:30.952Z,0.02
2026-08-01T00:55:37.999Z,0.12
2026-08-01T00:55:47.137Z,0.0
2026-08-01T00:58:45.194Z,0.0
2026-08-01T00:59:03.412Z,0.35
2026-08-01T00:59:11.277Z,0.44
2026-08-01T00:59:19.383Z,0.62
2026-08-01T00:59:27.214Z,0.44
2026-08-01T00:59:34.288Z,0.25
2026-08-01T00:59:41.425Z,0.25
2026-08-01T00:59:49.332Z,0.0
2026-08-01T01:39:14.815Z,0.56
2026-08-01T01:39:22.718Z,0.35
2026-08-01T01:39:30.56Z,0.37
2026-08-01T01:39:38.701Z,0.0
2026-08-01T01:39:49.179Z,0.41
2026-08-01T01:39:54.694Z,0.56
2026-08-01T01:40:13.92Z,0.1
2026-08-01T01:40:15.511Z,0.0
2026-08-01T01:40:44.816Z,0.5
2026-08-01T01:40:52.713Z,0.33
2026-08-01T01:41:02.545Z,0.0
2026-08-01T01:44:34.867Z,0.04
2026-08-01T01:44:40.968Z,0.25
2026-08-01T01:44:47.028Z,0.73
2026-08-01T01:44:55.127Z,0.39
2026-08-01T01:45:10.506Z,0.73
2026-08-01T01:45:14.066Z,0.31
2026-08-01T01:45:21.904Z,0.44
2026-08-01T01:45:30.141Z,0.5
2026-08-01T01:45:36.07Z,0.58
2026-08-01T01:45:45.175Z,0.5
2026-08-01T01:45:52.014Z,0.1
2026-08-01T01:45:59.096Z,0.0
2026-08-01T01:47:33.276Z,0.0
2026-08-01T01:50:29.287Z,0.46
2026-08-01T01:50:36.337Z,0.77
2026-08-01T01:50:47.27Z,0.35
2026-08-01T01:50:59.43Z,0.06
2026-08-01T01:51:03.331Z,0.0
2026-08-01T01:51:48.356Z,0.0
2026-08-01T01:52:57.966Z,0.16
2026-08-01T01:53:04.832Z,0.52
