_time,_value
2026-02-26T12:41:29Z,1
2026-02-26T12:41:34Z,0
2026-02-26T16:37:56Z,1
2026-02-26T16:38:01Z,0
2026-02-27T11:21:05Z,1
2026-02-27T11:21:10Z,0
2026-02-27T11:36:46Z,1
2026-02-27T11:36:51Z,0
2026-02-27T11:58:00Z,1
2026-02-27T11:58:05Z,0
2026-02-27T12:13:34Z,1
2026-02-27T12:13:39Z,0
2026-02-28T08:52:56Z,1
2026-02-28T08:53:01Z,0
2026-03-02T08:30:59Z,1
2026-03-02T08:31:04Z,0
2026-03-02T09:27:39Z,1
2026-03-02T09:27:44Z,0
2026-03-02T09:28:31Z,1
2026-03-02T09:28:36Z,0
2026-03-02T10:32:27Z,1
2026-03-02T10:32:37Z,0
2026-03-02T10:41:06Z,1
2026-03-02T10:41:11Z,0
2026-03-02T13:00:32Z,0
2026-03-02T15:36:56Z,0
2026-03-03T08:02:17Z,1
2026-03-03T08:02:22Z,0
2026-03-03T17:28:40Z,0
2026-03-03T17:28:41Z,0
2026-03-03T17:28:50Z,0
2026-03-04T07:42:38Z,0
2026-03-04T08:33:03Z,1
2026-03-04T08:33:08Z,0
2026-03-04T08:49:22Z,1
2026-03-04T08:49:27Z,0
2026-03-04T12:02:25Z,1
2026-03-04T12:02:30Z,0
2026-03-05T09:02:16Z,1
2026-03-05T09:02:21Z,0
2026-03-06T12:46:01Z,1
2026-03-06T12:46:06Z,0
2026-03-06T13:04:27Z,1
2026-03-06T13:04:32Z,0
2026-03-06T13:22:26Z,1
2026-03-06T13:22:31Z,0
2026-03-07T15:17:25Z,1
2026-03-07T15:17:30Z,0
2026-03-08T12:07:09Z,1
2026-03-08T12:07:14Z,0
2026-03-09T08:42:35Z,1
2026-03-09T08:42:40Z,0
2026-03-10T08:46:57Z,1
2026-03-10T08:47:02Z,0
2026-03-11T13:51:18Z,1
2026-03-11T13:51:23Z,0
2026-03-12T08:11:20Z,1
2026-03-12T08:11:25Z,0
2026-03-12T10:03:03Z,1
2026-03-12T10:03:09Z,0
2026-03-13T08:06:52Z,1
2026-03-13T08:07:02Z,0
2026-03-13T10:09:55Z,1
2026-03-13T10:10:01Z,0
2026-03-14T08:27:24Z,1
2026-03-14T08:27:29Z,0
2026-03-14T11:30:00Z,1
2026-03-14T11:30:05Z,0
2026-03-15T08:52:22Z,1
2026-03-15T08:52:27Z,0
2026-03-15T10:33:58Z,1
2026-03-15T10:34:03Z,0
2026-03-16T08:27:00Z,1
2026-03-16T08:27:05Z,0
2026-03-16T12:23:20Z,1
2026-03-16T12:23:25Z,0
2026-03-16T14:47:26Z,1
2026-03-16T14:47:28Z,1
2026-03-16T14:47:30Z,1
2026-03-16T14:48:39Z,0
2026-03-16T15:34:00Z,1
2026-03-16T15:34:05Z,0
2026-03-17T12:22:36Z,1
