_time,_value
2026-04-28T07:16:28.907Z,394.29
2026-04-28T07:16:43.358Z,394.29
2026-04-28T07:16:58.393Z,399.76
2026-04-28T07:17:13.447Z,399.76
2026-04-28T07:17:28.459Z,396.95
2026-04-28T07:17:43.461Z,396.95
2026-04-28T07:17:58.683Z,396.69
2026-04-28T07:18:13.857Z,396.69
2026-04-28T07:18:28.54Z,395.99
2026-04-28T07:18:48.564Z,393.28
2026-04-28T07:19:03.585Z,395.99
2026-04-28T07:19:18.674Z,393.28
2026-04-28T07:19:33.656Z,393.28
2026-04-28T07:19:48.665Z,396.69
2026-04-28T07:20:08.694Z,393.97
2026-04-28T07:20:25.046Z,393.98
2026-04-28T07:20:38.749Z,393.97
2026-04-28T07:20:53.772Z,393.97
2026-04-28T07:21:08.798Z,400.53
2026-04-28T07:21:23.823Z,393.22
2026-04-28T07:21:38.863Z,393.97
2026-04-28T07:21:53.882Z,393.97
2026-04-28T07:22:08.877Z,393.97
2026-04-28T07:22:23.916Z,394.52
2026-04-28T07:22:38.914Z,389.69
2026-04-28T07:22:54.232Z,394.52
2026-04-28T07:23:09.005Z,392.3
2026-04-28T07:23:23.979Z,392.3
2026-04-28T07:23:39.047Z,395.88
2026-04-28T07:23:54.099Z,397.91
2026-04-28T07:24:09.127Z,395.88
2026-04-28T07:24:24.126Z,394.52
2026-04-28T07:24:39.133Z,392.3
2026-04-28T07:24:59.156Z,392.3
2026-04-28T07:25:15.085Z,389.83
2026-04-28T07:25:29.19Z,389.83
2026-04-28T07:25:44.241Z,389.83
2026-04-28T07:25:59.247Z,389.83
2026-04-28T07:26:15.828Z,395.54
2026-04-28T07:26:29.286Z,395.54
2026-04-28T07:26:44.308Z,388.76
2026-04-28T07:27:04.336Z,390.82
2026-04-28T07:27:24.779Z,403.29
2026-04-28T07:27:39.385Z,400.2
2026-04-28T07:27:54.413Z,400.2
2026-04-28T07:28:09.416Z,403.29
2026-04-28T07:28:24.437Z,400.2
2026-04-28T07:28:39.485Z,400.2
2026-04-28T07:28:54.491Z,400.2
2026-04-28T07:29:09.502Z,400.2
2026-04-28T07:29:24.533Z,400.2
2026-04-28T07:29:39.556Z,400.2
2026-04-28T07:29:59.593Z,396.87
2026-04-28T07:30:14.624Z,401.64
2026-04-28T07:30:29.623Z,401.64
2026-04-28T07:30:44.657Z,401.31
2026-04-28T07:31:04.678Z,403.46
2026-04-28T07:31:19.683Z,401.64
2026-04-28T07:31:34.728Z,390.51
2026-04-28T07:31:49.761Z,390.14
2026-04-28T07:32:04.786Z,389.55
2026-04-28T07:32:19.774Z,399.42
2026-04-28T07:32:34.817Z,401.76
2026-04-28T07:32:49.818Z,397.34
2026-04-28T07:33:04.828Z,404.38
2026-04-28T07:33:19.877Z,392.66
2026-04-28T07:33:34.898Z,392.66
2026-04-28T07:33:49.907Z,397.34
2026-04-28T07:34:04.968Z,404.38
2026-04-28T07:34:19.95Z,397.34
2026-04-28T07:34:34.985Z,405.45
2026-04-28T07:34:50.024Z,406.91
2026-04-28T07:35:05.638Z,405.45
2026-04-28T07:35:20.035Z,405.45
2026-04-28T07:35:35.258Z,404.58
2026-04-28T07:35:50.113Z,404.58
2026-04-28T07:36:10.113Z,404.58
2026-04-28T07:36:25.146Z,405.81
2026-04-28T07:36:45.152Z,398.43
2026-04-28T07:37:00.195Z,398.43
2026-04-28T07:37:20.198Z,399.94
2026-04-28T07:37:40.23Z,398.34
2026-04-28T07:37:55.251Z,399.94
2026-04-28T07:38:10.267Z,401.73
2026-04-28T07:38:25.287Z,397.4
2026-04-28T07:38:45.357Z,397.4
2026-04-28T07:39:05.384Z,397.4
2026-04-28T07:39:20.4Z,397.66
2026-04-28T07:39:35.436Z,401.46
2026-04-28T07:39:50.443Z,397.66
2026-04-28T07:40:10.472Z,400.24
2026-04-28T07:40:30.491Z,397.99
2026-04-28T07:40:50.519Z,397.34
2026-04-28T07:41:05.578Z,403.76
2026-04-28T07:41:20.607Z,403.58
2026-04-28T07:41:40.652Z,403.58
2026-04-28T07:41:55.637Z,403.58
2026-04-28T07:42:15.656Z,405.34
2026-04-28T07:42:30.673Z,402.31
2026-04-28T07:42:45.686Z,404.3
2026-04-28T07:43:05.739Z,405.09
2026-04-28T07:43:20.738Z,405.32
2026-04-28T07:43:35.802Z,402.31
2026-04-28T07:43:50.815Z,402.31
2026-04-28T07:44:05.85Z,402.53
2026-04-28T07:44:20.878Z,402.53
2026-04-28T07:44:35.878Z,405.32
2026-04-28T07:44:50.902Z,404.3
2026-04-28T07:45:05.952Z,404.3
2026-04-28T07:45:25.953Z,402.24
2026-04-28T07:45:40.975Z,405.05
2026-04-28T07:45:56.006Z,398.53
2026-04-28T07:46:11.024Z,397.18
2026-04-28T07:46:26.027Z,398.53
2026-04-28T07:46:41.041Z,398.53
2026-04-28T07:46:56.079Z,405.05
2026-04-28T07:47:11.094Z,399.13
2026-04-28T07:47:26.147Z,402.27
2026-04-28T07:47:46.13Z,400.67
2026-04-28T07:48:02.332Z,402.76
2026-04-28T07:48:16.314Z,402.27
2026-04-28T07:48:31.222Z,402.31
2026-04-28T07:48:46.242Z,402.31
2026-04-28T07:49:02.268Z,401.63
2026-04-28T07:49:16.327Z,402.76
2026-04-28T07:49:31.319Z,402.31
2026-04-28T07:49:51.331Z,402.76
2026-04-28T07:50:06.833Z,401.63
2026-04-28T07:50:21.402Z,402.31
2026-04-28T07:50:36.388Z,402.31
2026-04-28T07:50:51.412Z,402.31
2026-04-28T07:51:06.961Z,399.62
2026-04-28T07:51:26.459Z,399.62
2026-04-28T07:51:41.462Z,401.43
2026-04-28T07:51:56.499Z,403.96
2026-04-28T07:52:11.537Z,403.96
2026-04-28T07:52:26.585Z,396.81
2026-04-28T07:52:41.602Z,394.04
2026-04-28T07:52:56.618Z,399.56
2026-04-28T07:53:11.652Z,395.87
2026-04-28T07:53:26.648Z,397.76
2026-04-28T07:53:41.68Z,394.04
2026-04-28T07:53:56.695Z,394.04
2026-04-28T07:54:11.723Z,390.02
2026-04-28T07:54:31.942Z,395.87
2026-04-28T07:54:46.766Z,390.02
2026-04-28T07:55:06.815Z,390.02
2026-04-28T07:55:21.841Z,390.02
2026-04-28T07:55:41.822Z,390.86
2026-04-28T07:55:56.857Z,397.26
2026-04-28T07:56:11.87Z,390.86
2026-04-28T07:56:26.903Z,403.05
2026-04-28T07:56:46.907Z,397.26
2026-04-28T07:57:06.952Z,390.86
2026-04-28T07:57:21.955Z,395.67
2026-04-28T07:57:37.012Z,403.46
2026-04-28T07:57:57.024Z,395.67
2026-04-28T07:58:17.037Z,395.67
2026-04-28T07:58:32.069Z,395.67
2026-04-28T07:58:47.051Z,395.67
2026-04-28T07:59:02.24Z,395.67
2026-04-28T07:59:17.109Z,389.12
2026-04-28T07:59:37.573Z,395.13
2026-04-28T07:59:52.128Z,389.12
2026-04-28T08:00:07.953Z,398.06
2026-04-28T08:00:27.213Z,394.92
2026-04-28T08:00:43.156Z,395.13
2026-04-28T08:00:57.269Z,395.13
2026-04-28T08:01:12.281Z,390.29
2026-04-28T08:01:32.314Z,404.09
2026-04-28T08:01:48.024Z,404.09
2026-04-28T08:02:02.412Z,398.06
2026-04-28T08:02:17.367Z,403.11
2026-04-28T08:02:32.372Z,403.11
2026-04-28T08:02:47.425Z,403.11
2026-04-28T08:03:03.07Z,403.11
2026-04-28T08:03:17.502Z,401.58
2026-04-28T08:03:32.473Z,401.58
2026-04-28T08:03:47.505Z,401.06
2026-04-28T08:04:07.663Z,398.54
2026-04-28T08:04:23.124Z,400.21
2026-04-28T08:04:42.582Z,396.31
2026-04-28T08:04:57.634Z,401.06
2026-04-28T08:05:12.663Z,396.31
2026-04-28T08:05:27.741Z,400.21
2026-04-28T08:05:42.674Z,400.21
2026-04-28T08:05:57.678Z,400.21
2026-04-28T08:06:12.689Z,400.21
2026-04-28T08:06:27.803Z,400.21
2026-04-28T08:06:48.116Z,396.56
2026-04-28T08:07:02.859Z,396.56
2026-04-28T08:07:22.798Z,399.9
2026-04-28T08:07:42.915Z,408.68
2026-04-28T08:08:02.895Z,399.9
2026-04-28T08:08:22.816Z,399.9
2026-04-28T08:08:37.835Z,396.75
2026-04-28T08:08:52.867Z,396.75
2026-04-28T08:09:07.903Z,394.49
2026-04-28T08:09:22.913Z,400.18
2026-04-28T08:09:37.956Z,405.46
