_time,_value
2026-04-24T13:53:46.081Z,125.42
2026-04-24T13:54:01.702Z,125.42
2026-04-24T13:54:15.748Z,121.94
2026-04-24T13:54:30.773Z,121.94
2026-04-24T13:54:50.781Z,117.52
2026-04-24T13:55:05.806Z,117.52
2026-04-24T13:55:20.803Z,117.52
2026-04-24T13:55:40.838Z,116.11
2026-04-24T13:56:01.751Z,115.01
2026-04-24T13:56:15.861Z,115.01
2026-04-24T13:56:30.885Z,115.01
2026-04-24T13:56:45.884Z,115.01
2026-04-24T13:57:01.897Z,115.6
2026-04-24T13:57:16.185Z,116.74
2026-04-24T13:57:30.933Z,116.74
2026-04-24T13:57:45.955Z,116.74
2026-04-24T13:58:05.986Z,118.62
2026-04-24T13:58:26.271Z,120.69
2026-04-24T13:58:41.017Z,120.69
2026-04-24T13:59:02.031Z,120.69
2026-04-24T13:59:16.045Z,123.47
2026-04-24T13:59:31.078Z,123.47
2026-04-24T13:59:46.075Z,123.47
2026-04-24T14:00:06.115Z,125.04
2026-04-24T14:00:26.099Z,126.18
2026-04-24T14:00:41.124Z,126.18
2026-04-24T14:01:01.886Z,126.18
2026-04-24T14:01:16.198Z,126.18
2026-04-24T14:01:31.177Z,127.02
2026-04-24T14:01:51.185Z,127.09
2026-04-24T14:02:06.204Z,127.09
2026-04-24T14:02:21.99Z,127.09
2026-04-24T14:02:36.221Z,126.31
2026-04-24T14:02:51.255Z,126.31
2026-04-24T14:03:06.281Z,125.32
2026-04-24T14:03:21.267Z,125.32
2026-04-24T14:03:41.274Z,121.98
2026-04-24T14:03:56.333Z,121.98
2026-04-24T14:04:11.345Z,120.03
2026-04-24T14:04:26.35Z,120.03
2026-04-24T14:04:46.916Z,120.03
2026-04-24T14:05:03.636Z,119.18
2026-04-24T14:05:16.404Z,119.18
2026-04-24T14:05:31.405Z,119.18
2026-04-24T14:05:46.475Z,119.18
2026-04-24T14:06:02.027Z,120.62
2026-04-24T14:06:16.468Z,120.62
2026-04-24T14:06:36.534Z,121.68
2026-04-24T14:06:51.492Z,122.56
2026-04-24T14:07:06.51Z,122.56
2026-04-24T14:07:21.519Z,122.56
