_time,_value
2026-04-23T09:49:21.865Z,1
2026-04-23T09:49:21.897Z,1
2026-04-23T09:49:28.77Z,0
2026-04-23T09:49:28.798Z,0
2026-04-23T09:54:27.579Z,1
2026-04-23T09:54:27.617Z,1
2026-04-23T09:54:31.356Z,0
2026-04-23T09:54:31.413Z,0
2026-04-23T10:38:45.927Z,1
2026-04-23T10:38:45.966Z,1
2026-04-23T10:39:08.955Z,0
2026-04-23T10:39:08.988Z,0
2026-04-23T10:41:04.288Z,1
2026-04-23T10:41:04.329Z,1
2026-04-23T10:41:07.073Z,0
2026-04-23T10:41:07.102Z,0
2026-04-23T10:49:26.114Z,1
2026-04-23T10:49:26.151Z,1
2026-04-23T11:01:25.956Z,-2
2026-04-23T11:01:26.469Z,-2
2026-04-23T11:03:54.792Z,-4
2026-04-23T11:03:56.972Z,0
2026-04-23T11:04:03.2Z,1
2026-04-23T11:04:03.236Z,1
2026-04-23T13:29:14.769Z,0
2026-04-23T13:29:14.801Z,0
2026-04-23T13:29:45.215Z,1
2026-04-23T13:29:45.249Z,1
2026-04-23T14:20:54.927Z,0
2026-04-23T14:20:54.958Z,0
2026-04-23T14:35:11.712Z,1
2026-04-23T14:35:11.745Z,1
2026-04-23T14:35:44.339Z,0
2026-04-23T14:35:44.37Z,0
2026-04-23T14:35:47.494Z,-4
2026-04-23T15:56:45.486Z,0
2026-04-23T15:56:55.448Z,1
2026-04-23T15:56:55.481Z,1
2026-04-23T15:57:55.504Z,0
2026-04-23T15:57:55.534Z,0
2026-04-23T15:58:05.091Z,1
2026-04-23T15:58:05.14Z,1
2026-04-23T16:05:34.444Z,-4
2026-04-23T16:17:50.213Z,-4
2026-04-23T18:55:14.035Z,0
2026-04-24T08:07:31.518Z,1
2026-04-24T08:07:31.55Z,1
2026-04-24T08:08:06.89Z,0
2026-04-24T08:08:06.922Z,0
2026-04-24T08:25:08.167Z,1
2026-04-24T08:25:08.196Z,1
2026-04-24T08:25:16.956Z,0
2026-04-24T08:25:16.988Z,0
2026-04-25T05:15:06.312Z,1
2026-04-25T05:15:06.346Z,1
2026-04-25T05:24:36.837Z,0
2026-04-25T05:24:36.866Z,0
2026-04-25T05:28:45.384Z,1
2026-04-25T05:28:45.423Z,1
2026-04-25T05:50:53.096Z,0
2026-04-25T05:50:53.126Z,0
2026-04-25T06:56:02.564Z,1
2026-04-25T06:56:02.594Z,1
2026-04-25T07:00:35.386Z,0
2026-04-25T07:00:35.415Z,0
2026-04-26T09:20:08.305Z,1
2026-04-26T09:20:08.353Z,1
2026-04-26T09:32:52.852Z,0
2026-04-26T09:32:52.883Z,0
2026-04-26T13:03:48.554Z,1
2026-04-26T13:03:48.584Z,1
2026-04-26T14:47:56.267Z,0
2026-04-26T14:47:56.3Z,0
2026-04-26T16:53:04.733Z,1
2026-04-26T16:53:04.765Z,1
2026-04-26T17:07:21.456Z,0
2026-04-26T17:07:21.483Z,0
2026-04-27T05:23:05.115Z,1
2026-04-27T05:23:05.149Z,1
2026-04-27T05:24:21.678Z,0
2026-04-27T05:24:21.712Z,0
2026-04-27T08:07:04.21Z,1
2026-04-27T08:07:04.264Z,1
2026-04-27T08:39:46.942Z,0
2026-04-27T08:39:46.977Z,0
2026-04-27T16:17:30.008Z,1
2026-04-27T16:17:30.047Z,1
2026-04-27T16:34:58.993Z,0
2026-04-27T16:34:59.026Z,0
2026-04-28T12:06:15.076Z,1
2026-04-28T12:06:15.107Z,1
2026-04-28T12:39:44.491Z,0
2026-04-28T12:39:44.523Z,0
2026-04-28T12:39:49.598Z,1
2026-04-28T12:39:49.632Z,1
2026-04-28T13:03:24.361Z,0
2026-04-28T13:03:24.393Z,0
2026-04-28T13:36:42.409Z,1
2026-04-28T13:36:42.44Z,1
2026-04-28T17:35:49.383Z,0
2026-04-28T17:35:49.443Z,0
2026-04-29T10:26:15.832Z,1
2026-04-29T10:26:15.874Z,1
2026-04-29T11:17:26.698Z,0
2026-04-29T11:17:26.761Z,0
2026-04-29T11:47:21.004Z,1
2026-04-29T11:47:21.04Z,1
2026-04-29T18:03:39.529Z,0
2026-04-29T18:03:39.564Z,0
2026-04-30T05:53:39.629Z,1
2026-04-30T05:53:39.663Z,1
2026-04-30T05:58:11.235Z,0
2026-04-30T05:58:11.268Z,0
2026-04-30T08:01:17.4Z,1
2026-04-30T08:01:17.448Z,1
2026-04-30T08:08:54.574Z,0
2026-04-30T08:08:54.607Z,0
2026-04-30T10:27:33.113Z,1
2026-04-30T10:27:33.152Z,1
2026-04-30T17:38:17.591Z,0
2026-04-30T17:38:17.627Z,0
2026-05-01T11:47:38.977Z,1
2026-05-01T11:47:39.026Z,1
2026-05-01T14:05:52.879Z,0
2026-05-01T14:05:52.91Z,0
2026-05-01T15:00:36.694Z,1
2026-05-01T15:00:36.732Z,1
2026-05-01T15:34:53.026Z,0
2026-05-01T15:34:53.057Z,0
2026-05-03T13:23:57.555Z,1
2026-05-03T13:23:57.588Z,1
2026-05-03T17:15:44.31Z,0
2026-05-03T17:15:44.34Z,0
2026-05-04T10:44:37.002Z,1
2026-05-04T10:44:37.073Z,1
2026-05-04T17:27:39.486Z,0
2026-05-04T17:27:39.528Z,0
2026-05-05T10:30:40.734Z,1
2026-05-05T10:30:40.768Z,1
2026-05-05T16:27:26.532Z,0
2026-05-05T16:27:26.571Z,0
2026-05-06T16:51:09.991Z,1
2026-05-06T16:51:10.047Z,1
2026-05-06T16:52:27.486Z,0
2026-05-06T16:52:27.53Z,0
2026-05-07T12:29:20.43Z,1
2026-05-07T12:29:20.48Z,1
2026-05-07T12:31:34.307Z,0
