_time,_value
2026-03-02T13:00:21Z,0
2026-03-02T13:00:22Z,0
2026-03-02T13:00:32Z,0
2026-03-02T15:19:08Z,0
2026-03-03T17:28:40Z,0
2026-03-03T17:28:50Z,0
2026-03-04T07:42:38Z,0
2026-03-06T06:59:29Z,1
2026-03-06T07:00:59Z,0
2026-03-12T08:00:44Z,1
2026-03-12T08:02:14Z,0
2026-03-12T13:53:28Z,1
2026-03-12T13:54:58Z,0
2026-03-13T09:08:53Z,1
2026-03-13T09:10:23Z,0
2026-03-16T09:42:22Z,1
2026-03-16T09:43:57Z,0
2026-03-16T13:24:08Z,1
2026-03-16T13:24:53Z,0
2026-03-20T14:10:59Z,0
2026-03-30T12:44:10Z,0
2026-04-16T18:03:15Z,0
2026-04-21T09:19:55Z,0
2026-04-22T12:16:47Z,0
2026-04-22T12:16:48Z,1
2026-04-22T12:16:48.745Z,0
2026-04-22T12:16:50Z,0
2026-04-22T12:16:50.373Z,1
2026-04-22T12:16:51.108Z,0
2026-04-22T12:45:16Z,0
2026-04-22T12:45:17Z,1
2026-04-22T12:45:18.081Z,0
2026-04-22T12:45:19Z,0
2026-04-22T12:45:19.769Z,1
2026-04-22T12:45:21.551Z,0
2026-04-22T12:45:21.945Z,0
2026-04-22T14:24:22Z,0
2026-04-22T14:24:23Z,1
2026-04-22T14:24:24.155Z,0
2026-04-22T14:24:24.798Z,0
2026-04-22T14:24:25Z,0
2026-04-22T14:24:25.466Z,0
2026-04-22T14:24:27.185Z,1
2026-04-22T14:24:27.51Z,1
2026-04-22T14:24:28.772Z,0
2026-04-22T14:24:29.125Z,0
2026-04-22T15:33:31Z,0
2026-04-22T15:33:32Z,1
2026-04-22T15:33:33.925Z,0
2026-04-22T15:33:34Z,0
2026-04-22T15:33:34.539Z,0
2026-04-22T15:33:35.068Z,0
2026-04-22T15:33:35.563Z,0
2026-04-22T15:33:38.297Z,1
2026-04-22T15:33:38.631Z,1
2026-04-22T15:33:39.893Z,0
2026-04-22T15:33:40.316Z,0
2026-04-22T15:33:40.761Z,0
2026-04-22T15:52:21Z,0
2026-04-22T15:52:22Z,1
2026-04-22T15:52:24Z,0
2026-04-22T15:52:24.385Z,0
2026-04-22T15:52:25.026Z,0
2026-04-22T15:52:25.536Z,0
2026-04-22T15:52:26.352Z,0
2026-04-22T15:52:26.866Z,0
2026-04-22T15:52:28.768Z,1
2026-04-22T15:52:29.261Z,1
2026-04-22T15:52:29.626Z,1
2026-04-22T15:52:31.374Z,0
2026-04-22T15:52:31.736Z,0
2026-04-22T15:52:32.15Z,0
2026-04-22T16:12:14Z,0
2026-04-22T16:12:15Z,1
2026-04-22T16:12:17Z,0
2026-04-22T16:12:18.053Z,0
2026-04-22T16:12:18.867Z,0
2026-04-22T16:12:19.373Z,0
2026-04-22T16:12:20.223Z,0
2026-04-22T16:12:20.855Z,0
2026-04-22T16:12:23.211Z,1
2026-04-22T16:12:23.605Z,1
2026-04-22T16:12:24.018Z,1
2026-04-22T16:12:24.411Z,1
2026-04-22T16:12:27.267Z,0
2026-04-22T16:12:27.705Z,0
2026-04-22T16:12:28.079Z,0
2026-04-22T16:12:28.554Z,0
2026-04-22T16:48:50Z,1
2026-04-22T16:48:51Z,1
2026-04-22T16:48:52Z,0
2026-04-22T16:48:53.933Z,0
2026-04-22T16:48:54.776Z,0
2026-04-22T16:48:55.373Z,0
2026-04-22T16:48:56.325Z,0
2026-04-22T16:48:56.907Z,0
2026-04-22T16:48:59.642Z,1
2026-04-22T16:49:00.09Z,1
2026-04-22T16:49:00.505Z,1
2026-04-22T16:49:00.839Z,1
2026-04-22T16:49:03.109Z,0
2026-04-22T16:49:03.559Z,0
2026-04-22T16:49:03.88Z,0
2026-04-22T16:49:04.216Z,0
2026-04-22T17:16:56Z,0
2026-04-22T17:16:57Z,1
2026-04-22T17:16:57.893Z,0
2026-04-22T17:16:58.71Z,1
2026-04-22T17:16:59Z,0
2026-04-22T17:17:00.056Z,0
2026-04-22T17:39:38Z,0
2026-04-22T17:39:39Z,1
2026-04-22T17:39:40.835Z,0
2026-04-22T17:39:41Z,0
2026-04-22T17:39:41.636Z,0
2026-04-22T17:39:42.975Z,1
2026-04-22T17:39:44.198Z,0
2026-04-22T18:15:55Z,0
2026-04-22T18:15:56Z,1
2026-04-22T18:15:57Z,0
2026-04-22T18:15:57.62Z,0
2026-04-22T18:15:58.133Z,0
2026-04-22T18:15:59.969Z,1
2026-04-22T18:16:00.429Z,1
2026-04-22T18:16:01.749Z,0
2026-04-22T18:16:02.193Z,0
2026-04-23T10:33:33Z,0
2026-04-23T10:33:46Z,0
2026-04-23T10:34:33.598Z,0
2026-04-23T10:35:45.622Z,0
2026-04-23T10:38:14.369Z,0
2026-04-23T14:05:29Z,0
2026-04-23T14:05:30Z,1
2026-04-23T14:05:31.965Z,0
2026-04-23T14:05:32Z,0
2026-04-23T14:05:33.972Z,1
2026-04-23T14:05:36.517Z,0
2026-04-23T16:01:13Z,0
2026-04-23T16:01:14Z,1
2026-04-23T16:01:16Z,0
2026-04-23T16:01:16.147Z,0
2026-04-23T16:01:16.933Z,0
2026-04-23T16:01:22.139Z,1
2026-04-23T16:01:22.604Z,1
2026-04-23T16:01:24.866Z,0
2026-04-23T18:38:33Z,0
2026-04-23T18:38:34Z,1
2026-04-23T18:38:36Z,0
2026-04-23T18:38:36.46Z,0
2026-04-23T18:38:37.161Z,0
2026-04-23T18:38:37.745Z,0
2026-04-23T18:38:45.278Z,1
2026-04-23T18:38:46.324Z,1
2026-04-23T18:38:47.072Z,1
2026-04-23T18:38:50.083Z,0
2026-04-23T18:38:50.599Z,0
2026-04-23T21:15:58.304Z,0
2026-04-24T05:54:48Z,0
2026-04-24T05:54:49Z,1
2026-04-24T05:54:49.085Z,0
2026-04-24T05:54:50.172Z,1
2026-04-24T05:57:49Z,0
2026-04-24T05:57:50.019Z,0
2026-04-24T08:32:42Z,0
2026-04-24T08:32:42.322Z,0
2026-04-24T08:32:43Z,1
2026-04-24T08:32:43.306Z,1
2026-04-24T08:33:31Z,0
2026-04-24T08:33:31.854Z,0
2026-04-24T15:33:55Z,1
2026-04-24T15:33:57Z,0
2026-04-24T15:34:18.243Z,1
2026-04-24T15:34:18.727Z,1
2026-04-24T15:34:27.924Z,0
2026-04-24T15:34:28.39Z,0
2026-04-25T10:00:00Z,0
2026-04-25T10:00:00.762Z,0
2026-04-25T10:00:01Z,1
2026-04-25T10:00:02Z,0
2026-04-25T10:00:06.466Z,1
2026-04-25T10:00:07.351Z,0
2026-04-26T06:57:18Z,0
2026-04-26T06:57:19Z,1
2026-04-26T06:57:19.727Z,0
2026-04-26T06:57:21Z,0
2026-04-26T06:57:22.459Z,1
2026-04-26T06:57:23.849Z,0
