_time,_value
2026-01-12T13:02:52Z,1
2026-01-12T13:02:52.622Z,1
2026-01-12T13:08:35Z,0
2026-01-12T13:08:35.699Z,0
2026-01-16T08:00:10Z,1
2026-01-16T08:00:10.909Z,1
2026-01-16T08:03:22Z,0
2026-01-16T08:03:22.902Z,0
2026-01-16T08:07:23Z,1
2026-01-16T08:07:23.531Z,1
2026-01-16T08:20:08Z,0
2026-01-16T08:20:08.874Z,0
2026-01-16T08:44:48Z,1
2026-01-16T08:44:49.3Z,1
2026-01-16T09:18:21Z,0
2026-01-16T09:18:22.139Z,0
2026-01-20T11:56:46.533Z,0
2026-01-20T12:02:20.031Z,0
2026-01-20T12:04:02.843Z,0
2026-01-20T12:06:05.884Z,0
2026-01-20T12:11:05.031Z,0
2026-01-20T12:12:31.011Z,0
2026-01-21T09:44:51Z,0
2026-01-21T09:45:16Z,0
2026-01-21T09:45:17Z,0
2026-01-21T09:45:28.412Z,0
2026-01-21T09:46:12.916Z,0
2026-01-21T10:18:46Z,0
2026-01-21T10:18:47Z,0
2026-01-21T10:19:21.618Z,0
2026-01-24T11:31:16Z,1
2026-01-24T11:31:16.899Z,1
2026-01-24T11:33:15Z,0
2026-01-24T11:33:15.396Z,0
2026-01-26T08:20:13Z,1
2026-01-26T08:20:14.022Z,1
2026-01-26T08:26:38Z,0
2026-01-26T08:26:38.684Z,0
2026-01-26T11:00:34Z,0
2026-01-26T11:01:14.606Z,0
2026-01-26T19:16:21Z,0
2026-01-26T19:16:54.907Z,0
2026-01-27T07:45:06Z,1
2026-01-27T07:45:06.652Z,1
2026-01-27T07:56:10Z,0
2026-01-27T07:56:11.045Z,0
2026-01-27T11:23:02Z,1
2026-01-27T11:23:02.566Z,1
2026-01-27T11:34:20Z,0
2026-01-27T11:34:20.853Z,0
2026-01-29T12:15:57.969Z,0
2026-02-02T08:04:31Z,1
2026-02-02T08:04:32.16Z,1
2026-02-02T08:06:59Z,0
2026-02-02T08:06:59.589Z,0
2026-02-02T09:16:50Z,1
2026-02-02T09:16:50.467Z,1
2026-02-02T09:19:59Z,1
2026-02-02T09:19:59.963Z,1
2026-02-02T09:20:11Z,0
2026-02-02T09:20:11.493Z,0
2026-02-03T09:04:30Z,1
2026-02-03T09:04:30.414Z,1
2026-02-03T09:06:17Z,0
2026-02-03T09:06:17.735Z,0
2026-02-03T09:06:41Z,0
2026-02-03T09:06:42.14Z,0
2026-02-04T09:03:10Z,1
2026-02-04T09:03:10.928Z,1
2026-02-04T09:22:06Z,0
2026-02-04T09:22:07.992Z,0
2026-02-05T09:04:29Z,1
2026-02-05T09:04:30.162Z,1
2026-02-05T09:17:27Z,0
2026-02-05T09:17:27.237Z,0
2026-02-05T10:42:15Z,1
2026-02-05T10:42:16.414Z,1
2026-02-05T10:42:33Z,0
2026-02-05T10:42:33.874Z,0
2026-02-05T10:54:25Z,1
2026-02-05T10:54:26.087Z,1
2026-02-05T10:57:08Z,0
2026-02-05T10:57:08.793Z,0
2026-02-05T12:03:43Z,1
2026-02-05T12:03:43.346Z,1
2026-02-05T12:29:32Z,0
2026-02-05T12:29:32.481Z,0
2026-02-05T13:24:25Z,1
2026-02-05T13:24:25.653Z,1
2026-02-05T13:31:41Z,0
2026-02-05T13:31:41.595Z,0
2026-02-05T13:57:34Z,1
2026-02-05T13:57:34.606Z,1
2026-02-05T13:59:24Z,0
2026-02-05T13:59:24.346Z,0
2026-02-05T17:24:57Z,1
2026-02-05T17:24:57.625Z,1
2026-02-05T17:25:44Z,1
2026-02-05T17:25:44.647Z,1
