_time,_value
2026-01-20T11:56:46.533Z,0
2026-01-20T12:02:20.031Z,0
2026-01-20T12:04:02.843Z,0
2026-01-20T12:06:05.884Z,0
2026-01-20T12:11:05.031Z,0
2026-01-20T12:12:31.011Z,0
2026-01-20T13:11:36Z,1
2026-01-20T13:11:36.608Z,1
2026-01-20T13:12:16Z,0
2026-01-20T13:12:16.889Z,0
2026-01-20T13:12:23Z,1
2026-01-20T13:12:23.808Z,1
2026-01-20T13:13:39Z,0
2026-01-20T13:13:39.284Z,0
2026-01-21T09:44:51Z,0
2026-01-21T09:45:16Z,0
2026-01-21T09:45:17Z,0
2026-01-21T09:45:28.412Z,0
2026-01-21T09:46:12.916Z,0
2026-01-21T10:18:46Z,0
2026-01-21T10:18:47Z,0
2026-01-21T10:19:21.618Z,0
2026-01-26T11:00:34Z,0
2026-01-26T11:01:14.606Z,0
2026-01-26T19:16:21Z,0
2026-01-26T19:16:54.907Z,0
2026-01-29T12:15:57.969Z,0
2026-02-05T10:12:31Z,1
2026-02-05T10:12:31.993Z,1
2026-02-05T10:15:05Z,0
2026-02-05T10:15:06.646Z,0
2026-02-05T10:35:44Z,1
2026-02-05T10:35:44.232Z,1
2026-02-05T10:38:44Z,0
2026-02-05T10:38:44.888Z,0
2026-02-05T10:40:47Z,1
2026-02-05T10:40:47.204Z,1
2026-02-05T10:41:30Z,0
2026-02-05T10:41:31.281Z,0
2026-02-05T10:46:58Z,1
2026-02-05T10:46:58.963Z,1
2026-02-05T10:47:14Z,0
2026-02-05T10:47:15.08Z,0
2026-02-10T11:42:54Z,1
2026-02-10T11:42:54.87Z,1
2026-02-10T11:43:31Z,0
2026-02-10T11:43:31.882Z,0
2026-02-10T11:44:17Z,1
2026-02-10T11:44:17.521Z,1
2026-02-10T11:44:29Z,0
2026-02-10T11:44:29.555Z,0
2026-02-10T12:07:16Z,1
2026-02-10T12:07:16.377Z,1
2026-02-10T12:07:39Z,0
2026-02-10T12:07:39.683Z,0
2026-02-11T14:19:39Z,1
2026-02-11T14:19:39.27Z,1
2026-02-11T14:25:58Z,0
2026-02-11T14:25:58.582Z,0
2026-02-12T09:03:34.867Z,0
2026-02-12T09:11:21.44Z,0
2026-02-12T10:06:47.529Z,0
2026-02-25T09:11:03Z,0
2026-02-25T13:51:33Z,0
2026-02-25T13:57:18Z,0
2026-02-25T13:57:20Z,0
2026-02-25T15:55:21Z,0
2026-02-25T16:06:54Z,1
2026-03-03T15:31:05Z,1
2026-03-03T15:32:40Z,0
2026-03-03T15:36:58Z,1
2026-03-03T15:37:03Z,0
2026-03-03T17:28:40Z,0
2026-03-03T17:28:50Z,0
2026-03-04T07:42:37Z,0
2026-03-04T07:56:26Z,1
2026-03-04T07:56:31Z,0
2026-03-06T15:23:15Z,1
2026-03-06T15:26:20Z,0
2026-03-12T15:11:46Z,1
2026-03-12T15:13:26Z,0
2026-03-12T15:13:42Z,1
2026-03-12T15:14:02Z,0
2026-03-12T15:14:20Z,1
2026-03-12T15:14:40Z,0
2026-03-12T15:15:06Z,1
2026-03-12T15:15:11Z,0
2026-03-13T17:08:35Z,1
2026-03-13T17:10:10Z,0
2026-03-13T17:10:17Z,1
2026-03-13T17:10:22Z,0
2026-03-15T10:59:36Z,1
2026-03-15T11:01:11Z,0
2026-03-17T17:17:43Z,1
2026-03-17T17:19:18Z,0
2026-03-18T17:37:37Z,1
2026-03-18T17:40:58Z,0
2026-03-20T14:10:59Z,0
2026-03-26T11:36:59Z,1
2026-03-26T11:38:25Z,0
2026-03-30T12:44:10Z,0
2026-03-30T14:57:10Z,1
2026-03-30T14:58:12Z,0
2026-03-31T08:46:38Z,1
2026-03-31T08:46:48Z,0
2026-04-10T20:58:42Z,1
2026-04-10T20:58:57Z,0
2026-04-15T15:31:54Z,1
2026-04-15T15:39:24Z,0
2026-04-16T18:03:15Z,0
2026-04-17T21:41:45Z,1
2026-04-17T21:45:55Z,0
2026-04-19T19:51:11Z,0
2026-04-19T19:51:12Z,1
2026-04-19T20:21:12Z,0
2026-04-20T08:26:35Z,0
2026-04-20T11:06:55Z,0
2026-04-20T11:06:56Z,1
2026-04-20T11:09:51Z,0
2026-04-20T11:12:33Z,0
2026-04-21T09:19:55Z,0
2026-04-23T09:08:52Z,0
2026-04-23T09:08:52.914Z,0
2026-04-23T09:09:01Z,0
2026-04-23T09:09:02Z,1
2026-04-23T09:09:03.572Z,0
2026-04-23T09:09:04.032Z,1
2026-04-23T09:09:09Z,0
2026-04-23T09:09:09.738Z,0
2026-04-23T09:10:04Z,1
2026-04-23T09:10:06.082Z,1
2026-04-23T09:13:06Z,0
2026-04-23T09:13:06.756Z,0
2026-04-23T09:13:21Z,0
2026-04-23T09:13:22.215Z,0
2026-04-23T10:33:33Z,0
2026-04-23T10:33:46Z,0
2026-04-23T10:34:33.598Z,0
2026-04-23T10:35:45.622Z,0
2026-04-23T10:38:14.369Z,0
2026-04-23T15:26:24Z,0
2026-04-23T15:26:25Z,1
2026-04-23T15:26:26.805Z,0
2026-04-23T15:26:27.824Z,1
2026-04-23T15:29:25Z,0
2026-04-23T15:29:27.148Z,0
2026-04-23T15:47:41Z,0
2026-04-23T15:47:42.704Z,0
2026-04-23T16:17:47Z,0
2026-04-23T16:17:48Z,1
2026-04-23T16:17:49.513Z,0
2026-04-23T16:17:52.593Z,1
2026-04-23T16:20:48Z,0
2026-04-23T16:20:49.577Z,0
2026-04-23T16:44:28Z,0
2026-04-23T16:44:29.121Z,0
2026-04-23T17:00:00Z,0
2026-04-23T17:00:01Z,1
2026-04-23T17:00:02.295Z,0
2026-04-23T17:00:11.989Z,1
2026-04-23T17:03:01Z,0
2026-04-23T17:03:02.668Z,0
2026-04-23T21:15:58.304Z,0
2026-04-24T09:20:24Z,0
2026-04-24T09:20:24.825Z,0
2026-04-24T10:03:16Z,0
2026-04-24T10:03:17Z,1
2026-04-24T10:03:18.675Z,0
2026-04-24T10:03:20.301Z,1
2026-04-24T10:06:17Z,0
2026-04-24T10:06:18.57Z,0
2026-04-24T10:33:53Z,0
2026-04-24T10:33:53.91Z,0
2026-04-24T11:17:13Z,0
2026-04-24T11:17:14Z,1
2026-04-24T11:17:15.439Z,0
2026-04-24T11:17:16.946Z,1
2026-04-24T11:20:14Z,0
2026-04-24T11:20:15.333Z,0
2026-04-24T11:35:19Z,0
2026-04-24T11:35:20.419Z,0
2026-04-24T12:47:09Z,0
2026-04-24T12:47:10Z,1
2026-04-24T12:47:10.873Z,0
2026-04-24T12:47:13.503Z,1
2026-04-24T12:50:10Z,0
2026-04-24T12:50:10.794Z,0
2026-04-24T13:08:56Z,0
2026-04-24T13:08:56.902Z,0
2026-04-24T13:25:20Z,0
2026-04-24T13:25:21Z,1
2026-04-24T13:25:22.653Z,0
2026-04-24T13:25:24.535Z,1
2026-04-24T13:28:21Z,0
2026-04-24T13:28:22.264Z,0
2026-04-24T14:19:55Z,0
2026-04-24T14:19:56.658Z,0
2026-04-24T14:30:38Z,0
2026-04-24T14:30:39Z,1
2026-04-24T14:30:40.433Z,0
2026-04-24T14:30:42.654Z,1
2026-04-24T14:33:39Z,0
2026-04-24T14:33:40.109Z,0
2026-04-24T15:33:54Z,0
2026-04-24T15:33:55Z,0
2026-04-24T15:34:05.795Z,0
2026-04-24T15:34:06.283Z,0
2026-04-24T15:34:06.781Z,0
2026-04-24T15:34:07.306Z,0
2026-04-24T15:34:07.729Z,0
2026-04-24T15:34:08.271Z,0
2026-04-24T15:34:08.735Z,0
2026-04-24T15:34:09.275Z,0
2026-04-24T15:34:09.767Z,0
2026-04-24T15:34:10.262Z,0
2026-04-24T15:34:10.659Z,0
2026-04-26T10:52:15Z,0
2026-04-26T10:52:16.623Z,0
2026-04-26T11:32:30Z,0
2026-04-26T11:32:31Z,1
2026-04-26T11:32:33.226Z,0
2026-04-26T11:32:36.443Z,1
2026-04-26T11:35:31Z,0
2026-04-26T11:35:32.435Z,0
2026-04-26T11:56:11Z,0
2026-04-26T11:56:13.887Z,0
2026-04-26T13:06:09Z,0
2026-04-26T13:06:09.701Z,0
2026-04-26T13:06:10Z,1
2026-04-26T13:06:10.67Z,1
2026-04-26T13:09:10Z,0
2026-04-26T13:09:10.36Z,0
2026-04-26T13:34:25Z,0
2026-04-26T13:34:25.521Z,0
2026-04-26T15:02:41Z,0
2026-04-26T15:02:42Z,1
2026-04-26T15:02:43.815Z,0
2026-04-26T15:02:45.9Z,1
2026-04-26T15:05:42Z,0
2026-04-26T15:05:43.626Z,0
2026-04-26T15:21:11Z,0
2026-04-26T15:21:11.541Z,0
2026-04-26T16:22:45Z,0
2026-04-26T16:22:46Z,1
2026-04-26T16:22:47.694Z,0
2026-04-26T16:22:48.876Z,1
2026-04-26T16:25:46Z,0
2026-04-26T16:25:48.197Z,0
2026-04-26T16:54:27Z,0
2026-04-26T16:54:28.46Z,0
2026-04-26T17:02:22Z,0
2026-04-26T17:02:23Z,1
2026-04-26T17:02:24.58Z,0
2026-04-26T17:02:27.056Z,1
2026-04-26T17:05:23Z,0
2026-04-26T17:05:24.446Z,0
2026-04-26T17:42:12Z,0
2026-04-26T17:42:13.982Z,0
2026-04-26T17:51:24Z,0
2026-04-26T17:51:25Z,1
