_time,_value
2026-01-20T11:56:46.533Z,0
2026-01-20T12:02:20.031Z,0
2026-01-20T12:04:02.843Z,0
2026-01-20T12:06:05.884Z,0
2026-01-20T12:11:05.031Z,0
2026-01-20T12:12:31.011Z,0
2026-01-21T09:44:51Z,0
2026-01-21T09:45:16Z,0
2026-01-21T09:45:17Z,0
2026-01-21T09:45:28.412Z,0
2026-01-21T09:46:12.916Z,0
2026-01-21T10:18:46Z,0
2026-01-21T10:18:47Z,0
2026-01-21T10:19:21.618Z,0
2026-01-26T11:00:34Z,0
2026-01-26T11:01:14.606Z,0
2026-01-26T19:16:21Z,0
2026-01-26T19:16:54.907Z,0
2026-01-29T12:15:57.969Z,0
2026-02-12T09:03:34.867Z,0
2026-02-12T09:11:21.44Z,0
2026-02-12T10:06:47.529Z,0
2026-02-25T09:11:03Z,0
2026-02-25T13:51:33Z,0
2026-02-25T13:57:18Z,0
2026-02-25T13:57:20Z,0
2026-02-25T15:55:13Z,0
2026-03-02T08:31:57Z,1
2026-03-02T08:33:40Z,0
2026-03-02T13:00:21Z,0
2026-03-02T13:00:22Z,0
2026-03-02T13:00:32Z,0
2026-03-02T15:21:22Z,0
2026-03-03T10:24:31Z,1
2026-03-03T10:26:01Z,0
2026-03-03T10:29:56Z,1
2026-03-03T10:30:06Z,0
2026-03-03T15:33:07Z,1
2026-03-03T15:34:42Z,0
2026-03-03T15:36:45Z,1
2026-03-03T15:36:50Z,0
2026-03-03T17:28:40Z,0
2026-03-03T17:28:50Z,0
2026-03-04T07:42:37Z,0
2026-03-04T07:55:53Z,1
2026-03-04T07:55:58Z,0
2026-03-06T15:19:28Z,1
2026-03-06T15:22:33Z,0
2026-03-07T15:14:29Z,1
2026-03-07T15:16:04Z,0
2026-03-09T11:08:30Z,1
2026-03-09T11:10:05Z,0
2026-03-09T15:33:41Z,1
2026-03-09T15:35:16Z,0
2026-03-09T15:37:18Z,1
2026-03-09T15:37:23Z,0
2026-03-11T11:45:28Z,1
2026-03-11T11:47:03Z,0
2026-03-11T17:37:29Z,1
2026-03-11T17:39:04Z,0
2026-03-11T17:41:08Z,1
2026-03-11T17:41:13Z,0
2026-03-12T15:52:41Z,1
2026-03-12T15:55:57Z,0
2026-03-13T09:35:15Z,1
2026-03-13T09:36:50Z,0
2026-03-13T17:03:51Z,1
2026-03-13T17:05:21Z,0
2026-03-13T17:06:13Z,1
2026-03-13T17:07:43Z,0
2026-03-13T17:07:52Z,1
2026-03-13T17:07:57Z,0
2026-03-16T13:19:00Z,1
2026-03-16T13:20:35Z,0
2026-03-17T17:13:49Z,1
2026-03-17T17:15:24Z,0
2026-03-18T09:38:58Z,0
2026-03-18T17:37:44Z,1
2026-03-18T17:41:09Z,0
2026-03-20T14:10:59Z,0
2026-03-30T12:44:10Z,0
2026-03-30T14:57:08Z,1
2026-03-30T14:58:53Z,0
2026-03-31T08:46:36Z,1
2026-03-31T08:46:45Z,0
2026-03-31T17:00:29Z,1
2026-03-31T17:03:09Z,0
2026-04-10T20:58:41Z,1
2026-04-12T22:56:06Z,0
2026-04-15T15:31:49Z,1
2026-04-15T15:39:16Z,0
2026-04-15T15:39:17Z,0
2026-04-15T15:39:18Z,0
2026-04-16T18:03:15Z,0
2026-04-17T21:42:00Z,1
2026-04-17T21:45:58Z,0
2026-04-19T19:50:54Z,0
2026-04-19T19:50:55Z,1
2026-04-19T19:51:07Z,0
2026-04-19T19:51:08Z,1
2026-04-19T20:20:55Z,0
2026-04-19T20:21:08Z,0
2026-04-20T08:26:30Z,0
2026-04-20T11:06:53Z,0
2026-04-20T11:06:54Z,1
2026-04-20T11:09:49Z,0
2026-04-20T11:12:31Z,0
2026-04-21T09:19:55Z,0
2026-04-22T11:32:22Z,0
2026-04-22T11:32:23Z,1
2026-04-22T11:32:23.362Z,0
2026-04-22T11:32:23.964Z,1
2026-04-22T11:35:18Z,0
2026-04-22T11:35:18.959Z,0
2026-04-22T12:38:59Z,0
2026-04-22T12:39:00.258Z,0
2026-04-23T09:08:50Z,0
2026-04-23T09:08:51.576Z,0
2026-04-23T09:08:59Z,0
2026-04-23T09:08:59.818Z,0
2026-04-23T09:09:00Z,1
2026-04-23T09:09:00.325Z,1
2026-04-23T09:09:02Z,0
2026-04-23T09:09:03Z,1
2026-04-23T09:09:04.718Z,0
2026-04-23T09:09:05.142Z,1
2026-04-23T09:09:07Z,0
2026-04-23T09:09:07.26Z,0
2026-04-23T09:09:12Z,0
2026-04-23T09:09:14.057Z,0
2026-04-23T09:09:16Z,0
2026-04-23T09:09:17Z,1
2026-04-23T09:09:17.391Z,0
2026-04-23T09:09:17.979Z,1
2026-04-23T09:09:19Z,0
2026-04-23T09:09:19.767Z,0
2026-04-23T09:09:30Z,1
2026-04-23T09:09:30.467Z,1
2026-04-23T09:12:37Z,0
2026-04-23T09:12:37.821Z,0
2026-04-23T09:13:34Z,0
2026-04-23T09:13:35.184Z,0
2026-04-23T10:33:33Z,0
2026-04-23T10:33:46Z,0
2026-04-23T10:34:33.598Z,0
2026-04-23T10:35:45.622Z,0
2026-04-23T10:38:14.369Z,0
2026-04-23T15:26:24Z,0
2026-04-23T15:26:25Z,1
2026-04-23T15:26:26.338Z,0
2026-04-23T15:26:27.824Z,1
2026-04-23T15:29:25Z,0
2026-04-23T15:29:26.556Z,0
2026-04-23T15:47:38Z,0
2026-04-23T15:47:41.173Z,0
2026-04-23T16:17:47Z,0
2026-04-23T16:17:48Z,1
2026-04-23T16:17:48.921Z,0
2026-04-23T16:17:52.593Z,1
2026-04-23T16:20:48Z,0
2026-04-23T16:20:48.965Z,0
2026-04-23T16:44:25Z,0
2026-04-23T16:44:27.643Z,0
2026-04-23T17:00:00Z,0
2026-04-23T17:00:01Z,1
2026-04-23T17:00:01.759Z,0
2026-04-23T17:00:11.989Z,1
2026-04-23T17:03:01Z,0
2026-04-23T17:03:02.668Z,0
2026-04-23T21:15:58.304Z,0
2026-04-24T09:20:21Z,0
2026-04-24T09:20:22.024Z,0
2026-04-24T10:03:16Z,0
2026-04-24T10:03:17Z,1
2026-04-24T10:03:18.213Z,0
2026-04-24T10:03:20.301Z,1
2026-04-24T10:06:17Z,0
2026-04-24T10:06:18.57Z,0
2026-04-24T10:33:50Z,0
2026-04-24T10:33:50.909Z,0
2026-04-24T11:17:13Z,0
2026-04-24T11:17:14Z,1
2026-04-24T11:17:14.962Z,0
2026-04-24T11:17:16.629Z,1
2026-04-24T11:20:14Z,0
2026-04-24T11:20:15.333Z,0
2026-04-24T11:35:17Z,0
2026-04-24T11:35:17.664Z,0
2026-04-24T12:47:09Z,0
2026-04-24T12:47:10Z,1
2026-04-24T12:47:10.338Z,0
2026-04-24T12:47:13.106Z,1
2026-04-24T12:50:10Z,0
2026-04-24T12:50:10.794Z,0
2026-04-24T13:08:53Z,0
2026-04-24T13:08:53.929Z,0
2026-04-24T13:25:20Z,0
2026-04-24T13:25:21Z,1
2026-04-24T13:25:22.247Z,0
2026-04-24T13:25:24.535Z,1
2026-04-24T13:28:21Z,0
2026-04-24T13:28:22.264Z,0
2026-04-24T14:19:53Z,0
2026-04-24T14:19:53.623Z,0
2026-04-24T14:30:38Z,0
2026-04-24T14:30:39Z,1
2026-04-24T14:30:40.035Z,0
2026-04-24T14:30:42.365Z,1
2026-04-24T14:33:39Z,0
2026-04-24T14:33:39.781Z,0
2026-04-24T15:33:54Z,0
2026-04-24T15:34:00.587Z,0
2026-04-24T15:34:01.053Z,0
2026-04-24T15:34:01.521Z,0
2026-04-24T15:34:01.997Z,0
2026-04-24T15:34:02.404Z,0
2026-04-24T15:34:02.871Z,0
2026-04-24T15:34:03.272Z,0
2026-04-24T15:34:03.81Z,0
2026-04-24T15:34:04.317Z,0
2026-04-24T15:34:04.743Z,0
2026-04-24T15:34:05.246Z,0
2026-04-26T09:09:22Z,0
2026-04-26T09:09:27.839Z,0
2026-04-26T11:32:30Z,0
2026-04-26T11:32:31Z,1
2026-04-26T11:32:32.724Z,0
2026-04-26T11:32:36.039Z,1
2026-04-26T11:35:31Z,0
2026-04-26T11:35:31.949Z,0
2026-04-26T11:56:08Z,0
2026-04-26T11:56:09.791Z,0
2026-04-26T15:02:41Z,0
2026-04-26T15:02:42Z,1
2026-04-26T15:02:43.213Z,0
2026-04-26T15:02:45.502Z,1
2026-04-26T15:05:42Z,0
2026-04-26T15:05:43.245Z,0
2026-04-26T15:21:08Z,0
2026-04-26T15:21:08.821Z,0
2026-04-26T16:22:45Z,0
2026-04-26T16:22:46Z,1
2026-04-26T16:22:47.694Z,0
2026-04-26T16:22:48.876Z,1
2026-04-26T16:25:46Z,0
2026-04-26T16:25:48.197Z,0
2026-04-26T16:54:24Z,0
2026-04-26T16:54:25.136Z,0
2026-04-26T17:02:22Z,0
2026-04-26T17:02:23Z,1
2026-04-26T17:02:24.097Z,0
2026-04-26T17:02:26.66Z,1
2026-04-26T17:05:23Z,0
2026-04-26T17:05:24.044Z,0
2026-04-26T17:42:10Z,0
2026-04-26T17:42:10.998Z,0
2026-04-26T17:51:24Z,0
2026-04-26T17:51:25Z,1
2026-04-26T17:51:26.627Z,0
2026-04-26T17:51:29.53Z,1
2026-04-26T17:54:25Z,0
