_time,_value
2026-01-13T07:37:04Z,1
2026-01-13T07:37:04.651Z,1
2026-01-20T11:56:46.533Z,0
2026-01-20T12:02:20.031Z,0
2026-01-20T12:04:02.843Z,0
2026-01-20T12:06:05.884Z,0
2026-01-20T12:11:05.031Z,0
2026-01-20T12:12:31.011Z,0
2026-01-21T09:44:51Z,0
2026-01-21T09:45:16Z,0
2026-01-21T09:45:17Z,0
2026-01-21T09:45:28.412Z,0
2026-01-21T09:46:12.916Z,0
2026-01-21T10:18:46Z,0
2026-01-21T10:18:47Z,0
2026-01-21T10:19:21.618Z,0
2026-01-26T11:00:34Z,0
2026-01-26T11:01:14.606Z,0
2026-01-26T19:16:21Z,0
2026-01-26T19:16:54.907Z,0
2026-01-29T12:15:57.969Z,0
2026-02-04T23:26:47Z,1
2026-02-04T23:26:47.754Z,1
2026-02-04T23:46:12Z,1
2026-02-04T23:46:12.895Z,1
2026-02-04T23:46:45Z,1
2026-02-04T23:46:45.306Z,1
2026-02-04T23:53:58Z,0
2026-02-04T23:53:58.441Z,0
2026-02-05T00:29:09Z,1
2026-02-05T00:29:09.755Z,1
2026-02-05T00:31:52Z,1
2026-02-05T00:31:52.577Z,1
2026-02-05T00:32:02Z,1
2026-02-05T00:32:02.623Z,1
2026-02-05T00:32:12Z,1
2026-02-05T00:32:12.579Z,1
2026-02-05T00:32:22Z,1
2026-02-05T00:32:22.586Z,1
2026-02-05T00:38:50Z,1
2026-02-05T00:38:50.336Z,1
2026-02-05T00:42:34Z,1
2026-02-05T00:42:34.243Z,1
2026-02-05T00:51:50Z,1
2026-02-05T00:51:51.473Z,1
2026-02-05T00:52:00Z,1
2026-02-05T00:52:01.24Z,1
2026-02-05T00:52:10Z,1
2026-02-05T00:52:11.151Z,1
2026-02-05T00:52:20Z,1
2026-02-05T00:52:21.181Z,1
2026-02-05T01:01:36Z,1
2026-02-05T01:01:37.096Z,1
2026-02-05T01:01:50Z,1
2026-02-05T01:01:50.896Z,1
2026-02-05T01:04:47Z,1
2026-02-05T01:04:47.889Z,1
2026-02-05T01:05:31Z,1
2026-02-05T01:05:31.38Z,1
2026-02-05T01:17:21Z,1
2026-02-05T01:17:21.312Z,1
2026-02-05T01:21:41Z,1
2026-02-05T01:21:41.497Z,1
2026-02-05T01:25:41Z,1
2026-02-05T01:25:41.744Z,1
2026-02-05T01:29:24Z,1
2026-02-05T01:29:25.085Z,1
2026-02-05T01:30:47Z,0
2026-02-05T01:30:47.254Z,0
2026-02-05T09:30:49Z,1
2026-02-05T09:30:49.253Z,1
2026-02-05T09:36:34Z,0
2026-02-05T09:36:34.305Z,0
2026-02-05T09:40:54Z,1
2026-02-05T09:40:54.281Z,1
2026-02-05T09:41:33Z,0
2026-02-05T09:41:33.605Z,0
2026-02-05T09:42:19Z,1
2026-02-05T09:42:19.463Z,1
2026-02-05T10:11:08Z,0
2026-02-05T10:11:08.74Z,0
2026-02-05T16:37:56Z,1
2026-02-05T16:37:56.849Z,1
2026-02-05T16:38:19Z,0
2026-02-05T16:38:19.23Z,0
2026-02-05T16:38:43Z,1
2026-02-05T16:38:44.252Z,1
2026-02-05T16:43:50Z,0
2026-02-05T16:43:50.645Z,0
2026-02-05T16:44:29Z,0
2026-02-05T16:44:29.57Z,0
2026-02-05T16:44:41Z,1
2026-02-05T16:44:41.903Z,1
2026-02-05T16:44:48Z,0
2026-02-05T16:44:48.57Z,0
2026-02-05T16:44:49Z,0
2026-02-05T16:44:49.417Z,1
2026-02-05T16:44:50Z,1
2026-02-05T16:44:50.231Z,0
2026-02-05T16:44:51.358Z,1
2026-02-05T16:45:43Z,0
2026-02-05T16:45:43.676Z,0
2026-02-05T16:46:11Z,1
2026-02-05T16:46:11.771Z,1
2026-02-05T17:20:08Z,1
2026-02-05T17:20:08.98Z,1
2026-02-05T17:21:00Z,0
2026-02-05T17:21:01.607Z,0
2026-02-05T19:17:54Z,1
2026-02-05T19:17:54.769Z,1
2026-02-05T19:17:55Z,0
2026-02-05T19:17:55.501Z,0
2026-02-05T19:17:56Z,1
2026-02-05T19:17:56.972Z,1
2026-02-05T19:18:00Z,0
2026-02-05T19:18:01.707Z,0
2026-02-09T12:13:12Z,1
2026-02-09T12:13:12.357Z,1
2026-02-09T12:13:36Z,0
2026-02-09T12:13:36.694Z,0
2026-02-11T21:25:23Z,1
2026-02-11T21:25:24.11Z,1
2026-02-11T21:25:37Z,0
2026-02-11T21:25:37.768Z,0
2026-02-11T21:26:42Z,1
2026-02-11T21:26:43.057Z,1
2026-02-11T21:26:44Z,0
2026-02-11T21:26:45.759Z,0
2026-02-12T09:03:34.867Z,0
2026-02-12T09:11:21.44Z,0
2026-02-12T10:06:47.529Z,0
