_time,_value
2026-05-28T04:00:00.546Z,1
2026-05-28T06:00:10.583Z,0
2026-05-28T07:50:31.945Z,0
2026-05-28T07:50:31.975Z,0
2026-05-28T07:50:32.005Z,0
2026-05-28T07:56:00.931Z,0
2026-05-28T07:56:00.974Z,0
2026-05-28T07:56:01.017Z,0
2026-05-28T07:56:56.528Z,0
2026-05-28T07:56:56.609Z,0
2026-05-28T07:56:56.669Z,0
2026-05-29T04:00:08.777Z,1
2026-05-29T06:00:00.205Z,0
2026-05-29T15:30:57.696Z,0
2026-05-29T15:30:57.768Z,0
2026-05-29T15:30:57.824Z,0
2026-05-30T04:00:02.153Z,1
2026-05-30T06:00:00.543Z,0
2026-05-31T04:00:00.37Z,1
2026-05-31T04:30:34.216Z,3
2026-05-31T04:57:08.175Z,4
2026-05-31T05:12:04.244Z,3
2026-05-31T05:43:39.01Z,4
2026-05-31T06:00:10.357Z,0
2026-05-31T06:01:58.637Z,0
2026-06-01T02:15:09.713Z,0
2026-06-01T04:00:00.644Z,3
2026-06-01T05:17:24.924Z,1
2026-06-01T06:00:00.633Z,0
2026-06-02T06:09:10.177Z,3
2026-06-02T06:50:14.968Z,1
2026-06-02T07:02:23.437Z,1
2026-06-02T07:02:25.686Z,1
2026-06-02T07:02:25.853Z,0
2026-07-03T06:26:14Z,1
2026-07-03T06:26:14.846Z,1
2026-07-03T08:30:00Z,0
2026-07-03T08:30:00.155Z,0
2026-07-03T13:32:27Z,0
2026-07-03T13:32:28.742Z,0
2026-07-03T13:40:10Z,0
2026-07-03T13:40:16.314Z,0
2026-07-03T13:56:33Z,0
2026-07-03T13:56:35.551Z,0
2026-07-03T16:11:17Z,0
2026-07-03T16:11:18.586Z,0
2026-07-03T16:14:42Z,0
2026-07-03T16:14:43.779Z,0
2026-07-03T16:22:25Z,0
2026-07-03T16:22:27.003Z,0
2026-07-03T16:34:11Z,0
2026-07-03T16:34:11.897Z,0
2026-07-03T16:36:03Z,0
2026-07-03T16:36:05.537Z,0
2026-07-03T16:43:07Z,0
2026-07-03T16:43:10.188Z,0
2026-07-03T16:43:35Z,0
2026-07-03T16:43:36.784Z,0
2026-07-03T23:36:25Z,0
2026-07-03T23:36:27.415Z,0
2026-07-04T03:00:00Z,3
2026-07-04T03:00:00.118Z,3
2026-07-04T03:16:14Z,1
2026-07-04T03:16:15.352Z,1
2026-07-04T03:43:52Z,3
2026-07-04T03:43:53.539Z,3
2026-07-04T05:00:58Z,1
2026-07-04T05:00:59.249Z,1
2026-07-04T05:28:54Z,3
2026-07-04T05:28:54.683Z,3
2026-07-04T05:32:32Z,1
2026-07-04T05:32:32.961Z,1
2026-07-04T08:30:00Z,0
2026-07-04T08:30:05.526Z,0
2026-07-04T12:28:22Z,0
2026-07-04T12:28:23.814Z,0
2026-07-04T12:34:44Z,0
2026-07-04T12:34:45.095Z,0
2026-07-04T12:39:59Z,0
2026-07-04T12:40:00.455Z,0
2026-07-04T12:49:48Z,0
2026-07-04T12:49:49.419Z,0
2026-07-04T12:56:44Z,0
2026-07-04T12:56:45.921Z,0
2026-07-04T13:04:09Z,0
2026-07-04T13:04:11.159Z,0
2026-07-04T13:13:22Z,0
2026-07-04T13:13:23.738Z,0
2026-07-04T15:52:49Z,0
2026-07-04T15:52:51.306Z,0
2026-07-04T15:58:01Z,0
2026-07-04T15:58:04.414Z,0
2026-07-04T16:04:44Z,0
2026-07-04T16:04:45.386Z,0
2026-07-04T16:15:28Z,0
2026-07-04T16:15:29.836Z,0
2026-07-04T16:18:17Z,0
2026-07-04T16:18:19.066Z,0
2026-07-04T16:24:54Z,0
2026-07-04T16:24:58.392Z,0
2026-07-04T16:25:32Z,0
2026-07-04T16:25:35.426Z,0
2026-07-04T16:29:27Z,0
2026-07-04T16:29:28.822Z,0
2026-07-04T16:33:16Z,0
2026-07-04T16:33:17.447Z,0
2026-07-04T16:37:55Z,0
2026-07-04T16:37:56.811Z,0
2026-07-04T16:40:50Z,0
2026-07-04T16:40:51.75Z,0
2026-07-04T16:56:07Z,0
2026-07-04T16:56:08.376Z,0
2026-07-04T16:58:21Z,0
2026-07-04T16:58:23.593Z,0
2026-07-04T21:13:09Z,0
2026-07-04T21:13:11.668Z,0
2026-07-05T03:00:00Z,3
2026-07-05T03:00:00.053Z,3
2026-07-05T05:28:31Z,1
2026-07-05T05:28:33.311Z,1
2026-07-05T08:30:00Z,0
2026-07-05T08:30:03.138Z,0
2026-07-05T12:40:55Z,0
2026-07-05T12:40:56.502Z,0
2026-07-05T12:45:13Z,0
2026-07-05T12:45:14.064Z,0
2026-07-05T13:08:16Z,0
2026-07-05T13:08:18.916Z,0
2026-07-05T13:23:04Z,0
2026-07-05T13:23:07.336Z,0
2026-07-05T13:30:23Z,0
2026-07-05T13:30:24.803Z,0
2026-07-05T16:25:46Z,0
2026-07-05T16:25:47.313Z,0
2026-07-05T16:29:08Z,0
2026-07-05T16:29:09.641Z,0
2026-07-05T16:31:21Z,0
2026-07-05T16:31:22.217Z,0
2026-07-05T16:38:51Z,0
2026-07-05T16:38:52.349Z,0
2026-07-05T16:40:19Z,0
2026-07-05T16:40:20.691Z,0
2026-07-05T16:41:12Z,0
2026-07-05T16:41:13.465Z,0
2026-07-05T16:49:34Z,0
2026-07-05T16:49:36.028Z,0
2026-07-05T16:57:32Z,0
2026-07-05T16:57:33.453Z,0
2026-07-05T18:10:49Z,0
2026-07-05T18:10:50.36Z,0
2026-07-05T22:19:43Z,0
2026-07-05T22:19:44.966Z,0
2026-07-06T03:00:00Z,3
2026-07-06T03:00:02.817Z,3
2026-07-06T03:10:25Z,1
2026-07-06T03:10:26.941Z,1
2026-07-06T03:50:41Z,3
2026-07-06T03:50:43.009Z,3
2026-07-06T04:19:47Z,1
2026-07-06T04:19:48.78Z,1
2026-07-06T04:37:15Z,3
2026-07-06T04:37:16.126Z,3
2026-07-06T04:52:30Z,1
2026-07-06T04:52:31.447Z,1
2026-07-06T08:30:00Z,0
2026-07-06T08:30:00.334Z,0
2026-07-06T18:07:50Z,0
2026-07-06T18:07:51.704Z,0
2026-07-06T18:33:48Z,0
2026-07-06T18:33:49.612Z,0
2026-07-06T23:02:03Z,0
2026-07-06T23:02:04.318Z,0
2026-07-07T03:00:00Z,3
2026-07-07T03:00:00.255Z,3
2026-07-07T03:25:41Z,1
2026-07-07T03:25:42.94Z,1
2026-07-07T03:54:49Z,3
2026-07-07T03:54:50.372Z,3
2026-07-07T04:06:32Z,1
2026-07-07T04:06:33.714Z,1
2026-07-07T08:30:00Z,0
2026-07-07T08:30:01.337Z,0
2026-07-07T23:54:03Z,0
2026-07-07T23:54:07.058Z,0
2026-07-08T02:52:59Z,0
2026-07-08T02:53:01.383Z,0
2026-07-08T03:00:00Z,1
2026-07-08T03:00:01.477Z,1
2026-07-08T03:38:18Z,3
2026-07-08T03:38:18.719Z,3
2026-07-08T03:41:23Z,1
2026-07-08T03:41:32.142Z,1
2026-07-08T04:59:25Z,3
2026-07-08T04:59:26.485Z,3
2026-07-08T05:10:15Z,1
2026-07-08T05:10:17.815Z,1
2026-07-08T08:30:00Z,0
2026-07-08T08:30:02.341Z,0
2026-07-08T18:22:03Z,0
2026-07-08T18:22:05.371Z,0
2026-07-08T18:35:44Z,0
2026-07-08T18:35:46.666Z,0
2026-07-09T03:00:00Z,1
2026-07-09T03:00:01.001Z,1
2026-07-09T08:30:00Z,0
2026-07-09T08:30:10.918Z,0
2026-07-09T09:35:50Z,0
2026-07-09T09:35:52.97Z,0
2026-07-09T09:42:15Z,0
2026-07-09T09:42:16.526Z,0
2026-07-09T09:52:26Z,0
2026-07-09T09:52:28.202Z,0
2026-07-09T10:02:50Z,0
2026-07-09T10:02:51.301Z,0
2026-07-09T10:13:43Z,0
2026-07-09T10:13:45.044Z,0
2026-07-09T13:40:49Z,0
2026-07-09T13:40:51.068Z,0
2026-07-09T21:31:47Z,0
2026-07-09T21:31:48.999Z,0
2026-07-10T03:00:00Z,4
2026-07-10T03:00:00.053Z,4
2026-07-10T06:13:23Z,1
2026-07-10T06:13:25.707Z,1
2026-07-10T08:30:00Z,0
2026-07-10T08:30:00.296Z,0
2026-07-10T12:36:07Z,0
2026-07-10T12:36:08.741Z,0
2026-07-10T17:18:31Z,0
2026-07-10T17:18:32.522Z,0
2026-07-10T18:02:55Z,0
2026-07-10T18:02:56.606Z,0
2026-07-10T18:15:20Z,0
2026-07-10T18:15:23.972Z,0
2026-07-10T18:20:35Z,0
2026-07-10T18:20:36.886Z,0
2026-07-10T18:23:29Z,0
2026-07-10T18:23:30.45Z,0
2026-07-10T19:31:14Z,0
2026-07-10T19:31:15.678Z,0
2026-07-11T03:00:00Z,4
2026-07-11T03:00:00.048Z,4
2026-07-11T07:27:53Z,1
2026-07-11T07:27:55.358Z,1
2026-07-11T08:30:00Z,0
2026-07-11T08:30:00.208Z,0
2026-07-11T11:45:36Z,0
2026-07-11T11:45:38.468Z,0
2026-07-11T11:51:46Z,0
2026-07-11T11:51:47.035Z,0
2026-07-11T11:58:36Z,0
2026-07-11T11:58:37.207Z,0
2026-07-11T12:58:33Z,0
2026-07-11T12:58:34.33Z,0
2026-07-11T13:07:03Z,0
2026-07-11T13:07:05.403Z,0
2026-07-11T13:39:55Z,0
2026-07-11T13:39:57.747Z,0
2026-07-11T14:04:51Z,0
2026-07-11T14:04:52.372Z,0
2026-07-11T14:09:25Z,0
2026-07-11T14:09:27.347Z,0
2026-07-11T14:21:36Z,0
2026-07-11T14:21:38.41Z,0
2026-07-11T14:25:00Z,0
2026-07-11T14:25:13.716Z,0
2026-07-11T19:10:08Z,0
2026-07-11T19:10:12.697Z,0
2026-07-12T03:00:00Z,4
2026-07-12T03:00:04.053Z,4
2026-07-12T06:44:14Z,1
2026-07-12T06:44:16.268Z,1
2026-07-12T08:30:00Z,0
2026-07-12T08:30:00.418Z,0
2026-07-12T11:55:17Z,0
2026-07-12T11:55:19.22Z,0
