_time,_value
2026-04-23T15:26:24.729Z,0
2026-04-23T15:47:36.288Z,1
2026-04-23T16:17:47.764Z,0
2026-04-23T16:44:22.967Z,1
2026-04-23T17:00:00.048Z,0
2026-04-24T09:20:18.833Z,1
2026-04-24T10:03:17.083Z,0
2026-04-24T10:33:47.656Z,1
2026-04-24T11:17:13.7Z,0
2026-04-24T11:35:14.41Z,1
2026-04-24T12:47:09.304Z,0
2026-04-24T13:08:50.887Z,1
2026-04-24T13:25:20.779Z,0
2026-04-24T14:19:50.565Z,1
2026-04-24T14:30:39.463Z,0
2026-04-26T09:09:27.158Z,1
2026-04-26T11:32:32.02Z,0
2026-04-26T11:56:09.089Z,1
2026-04-26T15:02:41.931Z,0
2026-04-26T15:21:06.33Z,1
2026-04-26T16:22:45.804Z,0
2026-04-26T16:54:21.781Z,1
2026-04-26T17:02:22.545Z,0
2026-04-26T17:42:07.721Z,1
2026-04-26T17:51:24.968Z,0
2026-04-27T08:31:57.175Z,1
2026-04-27T08:40:06.376Z,0
2026-04-27T08:58:07.165Z,1
2026-04-27T09:08:05.13Z,0
2026-04-27T09:23:45.05Z,1
2026-04-27T09:47:47.171Z,0
2026-04-27T10:04:43.22Z,1
2026-04-27T10:22:24.323Z,0
2026-04-27T10:34:51.992Z,1
2026-04-27T16:46:11.805Z,0
2026-04-27T17:01:06.941Z,1
2026-04-27T17:39:17.371Z,0
2026-04-28T10:25:01.02Z,1
2026-04-28T10:38:51.993Z,0
2026-04-28T10:55:45.987Z,1
2026-04-28T17:50:26.205Z,0
2026-04-29T07:46:21.992Z,1
2026-04-29T07:57:52.216Z,0
2026-04-29T08:13:52.037Z,1
2026-04-29T08:57:19.78Z,0
2026-04-29T09:13:23.312Z,1
2026-04-30T07:52:08.815Z,1
2026-04-30T08:51:16.259Z,0
2026-04-30T10:04:07.414Z,1
2026-04-30T18:00:00.242Z,0
2026-05-01T09:23:00.426Z,1
2026-05-01T15:53:06.051Z,0
2026-05-01T16:24:36.272Z,1
2026-05-01T16:42:50.051Z,0
2026-05-02T10:04:04.31Z,1
2026-05-02T12:11:08.686Z,0
2026-05-02T13:51:46.287Z,1
2026-05-02T15:02:34.431Z,0
2026-05-02T15:40:10.315Z,1
2026-05-02T16:35:21.55Z,0
2026-05-03T10:19:26.725Z,1
2026-05-03T17:33:34.587Z,0
2026-05-04T09:55:46.522Z,1
2026-05-04T18:00:01.09Z,0
2026-05-05T06:53:38.055Z,1
2026-05-05T07:00:34.159Z,0
2026-05-05T07:17:16.353Z,1
2026-05-05T07:30:45.933Z,0
2026-05-05T07:43:14.152Z,1
2026-05-05T07:56:46.119Z,0
2026-05-05T08:09:34.88Z,1
2026-05-05T08:29:11.07Z,0
2026-05-05T08:46:00.538Z,1
2026-05-05T09:11:51.523Z,0
2026-05-05T09:26:12.831Z,1
2026-05-05T18:00:01.148Z,0
2026-05-06T07:33:54.199Z,1
2026-05-06T07:52:36.58Z,0
2026-05-06T08:06:36.377Z,1
2026-05-06T16:52:27.029Z,1
2026-05-06T18:00:02.405Z,0
2026-05-07T05:00:00.082Z,1
2026-05-08T05:00:00.077Z,1
2026-05-08T07:37:49.729Z,0
2026-05-08T13:11:46.972Z,1
2026-05-08T16:59:11.071Z,0
2026-05-09T11:21:41.193Z,1
2026-05-09T15:19:18.585Z,0
2026-05-09T16:15:34.584Z,1
2026-05-09T16:32:49.982Z,0
2026-05-09T16:58:18.682Z,1
2026-05-09T17:14:30.475Z,0
2026-05-09T17:37:56.698Z,1
2026-05-09T17:52:54.044Z,0
2026-05-10T07:00:48.969Z,1
2026-05-10T07:13:41.739Z,0
2026-05-10T07:28:21.358Z,1
2026-05-10T18:00:00.092Z,0
2026-05-11T05:00:00.259Z,1
2026-05-11T06:39:10.094Z,3
2026-05-11T06:49:34.732Z,1
2026-05-11T07:07:45.377Z,3
2026-05-11T07:20:47.775Z,1
2026-05-11T07:34:17.182Z,3
2026-05-11T07:50:28.817Z,1
2026-05-11T08:01:04.674Z,3
2026-05-11T08:28:03.442Z,1
2026-05-11T08:36:15.062Z,0
2026-05-11T08:36:15.121Z,0
2026-05-11T08:36:15.162Z,0
2026-05-11T10:19:47.392Z,0
2026-05-11T11:05:52.937Z,2
2026-05-11T11:05:53.019Z,1
2026-05-11T11:05:53.064Z,1
2026-05-11T11:13:17.035Z,3
2026-05-11T18:00:00.565Z,0
2026-05-11T18:50:33.545Z,0
2026-05-12T05:00:00.862Z,1
2026-05-12T07:38:05.917Z,3
2026-05-12T07:45:42.374Z,1
2026-05-12T08:22:03.742Z,3
2026-05-12T08:37:49.6Z,1
2026-05-12T09:00:53.867Z,3
2026-05-12T09:10:17.072Z,1
2026-05-12T09:30:34.811Z,3
2026-05-12T18:00:00.098Z,0
2026-05-12T18:48:07.478Z,0
2026-05-13T05:00:00.28Z,1
2026-05-13T06:41:26.725Z,3
2026-05-13T07:05:23.423Z,1
2026-05-13T07:15:42.746Z,3
2026-05-13T08:32:59.66Z,1
2026-05-13T08:47:45.088Z,3
2026-05-13T09:06:04.895Z,1
2026-05-13T09:22:16.405Z,3
2026-05-13T15:51:09.874Z,3
2026-05-13T15:51:09.906Z,3
2026-05-13T15:51:09.939Z,3
2026-05-13T15:51:09.968Z,0
2026-05-13T15:51:10.174Z,0
2026-05-13T17:22:07.589Z,2
2026-05-13T17:22:07.717Z,1
2026-05-13T17:22:07.829Z,1
2026-05-13T17:22:07.862Z,1
2026-05-13T18:00:00.084Z,0
2026-05-14T05:00:00.083Z,1
2026-05-14T07:26:03.48Z,3
2026-05-14T07:48:09.077Z,1
2026-05-14T08:49:17.639Z,3
2026-05-14T09:25:42.282Z,1
2026-05-14T09:41:55.237Z,3
2026-05-14T10:04:55.891Z,1
2026-05-14T10:21:24.295Z,3
2026-05-14T10:53:24.004Z,1
2026-05-14T11:05:47.867Z,3
2026-05-14T11:21:02.621Z,1
2026-05-14T11:43:25.657Z,3
2026-05-14T12:25:40.233Z,1
2026-05-14T12:54:41.484Z,3
2026-05-14T13:15:28.296Z,1
2026-05-14T13:33:16.894Z,3
2026-05-14T16:17:25.033Z,1
2026-05-14T18:00:00.087Z,0
2026-05-15T05:00:02.069Z,1
2026-05-15T06:40:46.04Z,0
2026-05-15T06:40:46.072Z,0
2026-05-15T06:40:46.106Z,0
2026-05-15T08:17:26.375Z,0
2026-05-15T08:17:26.443Z,0
2026-05-15T08:17:26.512Z,0
2026-05-15T08:17:55.004Z,0
2026-05-15T08:17:55.059Z,0
2026-05-15T08:17:55.098Z,0
2026-05-15T08:18:25.064Z,1
2026-05-15T08:18:25.094Z,1
2026-05-15T08:18:25.122Z,1
2026-05-15T09:32:50.449Z,3
2026-05-15T10:07:05.15Z,1
2026-05-15T10:18:58.754Z,3
2026-05-15T11:36:27.153Z,1
2026-05-15T11:53:08.91Z,3
2026-05-15T12:08:39.861Z,1
2026-05-15T12:35:11.235Z,3
2026-05-15T12:47:08.025Z,1
2026-05-15T18:00:01.03Z,0
2026-05-16T05:00:11.407Z,1
