_time,_value
2026-05-05T10:45:13.421Z,1
2026-05-05T17:10:20.495Z,0
2026-05-08T13:12:02.677Z,1
2026-05-08T13:37:31.144Z,0
2026-05-08T13:51:49.921Z,1
2026-05-08T16:35:08.36Z,0
2026-05-09T12:34:40.597Z,1
2026-05-09T15:16:39.41Z,0
2026-05-10T10:05:00.046Z,1
2026-05-10T11:19:34.918Z,0
2026-05-10T11:32:12.641Z,1
2026-05-10T17:58:32.711Z,0
2026-05-11T09:32:22.625Z,0
2026-05-11T10:05:00.059Z,3
2026-05-11T17:31:49.923Z,1
2026-05-11T18:00:00.395Z,0
2026-05-12T09:31:36.101Z,0
2026-05-12T10:05:00.048Z,3
2026-05-12T15:12:14.475Z,4
2026-05-12T15:27:15.146Z,3
2026-05-12T15:28:52.555Z,4
2026-05-12T15:43:52.419Z,3
2026-05-12T15:59:13.747Z,4
2026-05-12T16:16:39.41Z,3
2026-05-12T16:16:55.417Z,4
2026-05-12T16:38:03.627Z,3
2026-05-12T17:33:29.884Z,1
2026-05-12T18:00:01.834Z,0
2026-05-13T08:46:27.979Z,0
2026-05-13T10:05:00.042Z,3
2026-05-13T17:27:08.086Z,1
2026-05-13T18:00:00.172Z,0
2026-05-14T08:35:18.166Z,0
2026-05-14T10:05:01.488Z,3
2026-05-14T13:10:14.41Z,3
2026-05-14T13:10:14.447Z,1
2026-05-14T13:10:14.541Z,1
2026-05-14T13:22:17.484Z,3
2026-05-14T17:58:37.868Z,1
2026-05-14T18:00:03.199Z,0
2026-05-15T07:00:02.162Z,1
2026-05-15T08:34:02.795Z,1
2026-05-15T08:34:02.845Z,1
2026-05-15T08:34:02.914Z,1
2026-05-15T08:34:42.036Z,1
2026-05-15T08:34:42.085Z,1
2026-05-15T08:34:42.143Z,1
2026-05-15T08:38:18.571Z,3
2026-05-15T08:39:14.475Z,3
2026-05-15T08:39:14.633Z,1
2026-05-15T08:39:14.794Z,1
2026-05-15T08:53:27.008Z,3
2026-05-15T09:04:30.992Z,1
2026-05-15T09:30:47.709Z,3
2026-05-15T09:40:39.049Z,1
2026-05-15T10:18:20.692Z,3
2026-05-15T10:34:19.374Z,1
2026-05-15T11:51:33.271Z,3
2026-05-15T12:01:31.01Z,1
2026-05-15T12:24:17.705Z,3
2026-05-15T12:41:10.851Z,1
2026-05-15T18:00:01.359Z,0
2026-05-16T06:58:16.078Z,0
