_time,_value
2026-04-24T14:39:15.56Z,0
2026-04-26T09:09:20.864Z,1
2026-04-26T10:14:02.289Z,0
2026-04-26T10:39:04.236Z,1
2026-04-26T13:59:02.85Z,0
2026-04-26T14:19:02.395Z,1
2026-04-26T14:24:02.182Z,0
2026-04-27T09:33:31.676Z,1
2026-04-27T15:38:45.166Z,0
2026-04-28T06:38:31.447Z,1
2026-04-28T10:55:34.218Z,1
2026-04-28T11:28:32.106Z,0
2026-04-28T12:47:21.795Z,1
2026-04-28T14:04:54.302Z,0
2026-04-29T10:29:53.813Z,1
2026-04-29T10:49:54.309Z,0
2026-04-29T11:44:53.643Z,1
2026-04-29T12:24:53.863Z,0
2026-04-29T12:49:53.93Z,1
2026-04-29T12:59:53.674Z,0
2026-04-29T13:09:53.759Z,1
2026-04-29T13:34:53.642Z,0
2026-04-30T09:44:54.51Z,1
2026-04-30T13:44:53.653Z,0
2026-04-30T13:59:55.046Z,1
2026-04-30T14:09:53.81Z,0
2026-04-30T14:24:53.778Z,1
2026-04-30T14:34:55.698Z,0
2026-05-01T11:44:53.804Z,1
2026-05-01T11:59:53.848Z,0
2026-05-01T14:49:53.807Z,1
2026-05-01T14:54:53.952Z,0
2026-05-03T10:44:53.634Z,1
2026-05-03T12:49:53.677Z,0
2026-05-03T13:14:53.647Z,1
2026-05-03T14:24:53.735Z,0
2026-05-03T14:44:53.617Z,1
2026-05-03T15:19:53.692Z,0
2026-05-04T10:19:54.059Z,1
2026-05-04T11:09:53.546Z,0
2026-05-04T11:14:53.606Z,1
2026-05-04T11:39:53.656Z,0
2026-05-04T11:49:53.517Z,1
2026-05-04T12:04:55.846Z,0
2026-05-04T12:09:53.557Z,1
2026-05-04T12:14:53.663Z,0
2026-05-04T12:24:54.094Z,1
2026-05-04T12:34:53.678Z,0
2026-05-04T12:49:54.863Z,1
2026-05-04T12:54:53.864Z,0
2026-05-04T13:14:53.549Z,1
2026-05-04T13:19:53.521Z,0
2026-05-04T13:39:53.651Z,1
2026-05-04T14:19:54.101Z,0
2026-05-04T14:24:54.902Z,1
2026-05-04T14:29:53.656Z,0
2026-05-04T14:39:54.117Z,1
2026-05-04T14:59:54.526Z,0
2026-05-04T15:09:55.101Z,1
2026-05-04T15:24:56.088Z,0
2026-05-04T15:44:53.847Z,1
2026-05-04T15:49:53.821Z,0
2026-05-05T08:19:53.612Z,1
2026-05-05T12:09:53.56Z,0
2026-05-05T12:14:53.534Z,1
2026-05-05T12:19:54.532Z,0
2026-05-05T12:29:53.51Z,1
2026-05-05T16:39:53.975Z,0
2026-05-06T07:59:53.515Z,1
2026-05-06T08:59:53.558Z,1
2026-05-06T09:34:53.643Z,0
2026-05-06T09:39:55.574Z,1
2026-05-06T09:44:53.863Z,0
2026-05-06T09:49:53.65Z,1
2026-05-06T09:54:53.607Z,0
2026-05-06T09:59:53.93Z,1
2026-05-06T10:04:53.653Z,0
2026-05-06T10:09:54.212Z,1
2026-05-06T10:39:53.705Z,0
2026-05-06T10:44:53.611Z,1
2026-05-06T15:09:53.517Z,0
2026-05-06T15:19:53.622Z,1
2026-05-06T15:24:53.534Z,0
2026-05-07T13:59:53.532Z,1
2026-05-07T14:04:53.515Z,0
2026-05-07T14:09:55.454Z,1
2026-05-07T14:14:53.443Z,0
2026-05-08T10:24:53.471Z,1
2026-05-08T16:24:53.913Z,0
2026-05-09T10:39:53.483Z,1
2026-05-09T10:49:54.166Z,0
2026-05-09T12:09:53.972Z,1
2026-05-09T15:04:53.569Z,0
2026-05-10T08:14:54.115Z,1
2026-05-10T10:59:53.491Z,0
2026-05-10T11:04:53.402Z,1
2026-05-10T11:09:53.86Z,0
2026-05-10T11:24:53.448Z,1
2026-05-10T11:29:55.509Z,0
2026-05-10T11:34:53.71Z,1
2026-05-10T16:34:55.045Z,0
2026-05-11T05:00:00.118Z,1
2026-05-11T08:14:53.47Z,3
2026-05-11T16:44:53.499Z,1
2026-05-11T17:00:00.148Z,0
2026-05-12T05:00:00.822Z,1
2026-05-12T07:34:53.354Z,3
2026-05-12T07:39:53.76Z,1
2026-05-12T07:44:53.442Z,3
2026-05-12T07:49:53.497Z,1
2026-05-12T07:54:53.408Z,3
2026-05-12T08:09:53.434Z,1
2026-05-12T08:19:53.417Z,3
2026-05-12T08:34:53.49Z,1
2026-05-12T08:54:53.464Z,3
2026-05-12T09:04:53.515Z,1
2026-05-12T10:04:53.478Z,3
2026-05-12T11:34:53.413Z,1
2026-05-12T11:39:53.972Z,3
2026-05-12T12:19:53.434Z,1
2026-05-12T12:24:54.092Z,3
2026-05-12T12:44:53.537Z,1
2026-05-12T12:49:54.13Z,3
2026-05-12T13:39:53.552Z,1
2026-05-12T13:49:53.335Z,3
2026-05-12T14:54:53.46Z,1
2026-05-12T14:59:53.452Z,3
2026-05-12T16:49:53.327Z,1
2026-05-12T17:00:00.046Z,0
2026-05-13T05:00:00.083Z,1
2026-05-13T08:14:53.372Z,3
2026-05-13T09:34:53.35Z,1
2026-05-13T09:39:53.271Z,3
2026-05-13T09:49:53.343Z,1
2026-05-13T09:54:53.354Z,3
2026-05-13T11:29:53.366Z,1
2026-05-13T11:34:53.752Z,3
2026-05-13T12:44:54.463Z,1
2026-05-13T12:54:53.343Z,3
2026-05-13T12:59:53.406Z,1
