_time,_value
2026-05-14T12:41:02.486Z,1
2026-05-14T12:41:02.525Z,1
2026-05-14T12:41:02.568Z,1
2026-05-14T12:54:41.522Z,2
2026-05-14T13:15:28.612Z,1
2026-05-14T13:33:16.924Z,2
2026-05-14T16:17:25.298Z,1
2026-05-14T18:00:00.141Z,0
2026-05-15T05:00:02.1Z,1
2026-05-15T18:00:00.96Z,0
2026-05-16T05:00:00.947Z,1
2026-05-16T18:00:02.825Z,0
2026-05-17T05:00:01.363Z,1
2026-05-17T18:00:00.435Z,0
2026-05-18T05:00:11.406Z,1
2026-05-18T12:26:00.245Z,2
2026-05-18T14:11:22.37Z,1
2026-05-18T14:38:26.79Z,2
2026-05-18T15:25:25.514Z,1
2026-05-18T18:00:15.205Z,0
2026-05-19T05:00:01.393Z,1
2026-05-19T10:31:28.696Z,2
2026-05-19T13:19:38.982Z,1
2026-05-19T13:46:28.311Z,2
2026-05-19T18:00:01.892Z,0
2026-05-19T18:24:27.898Z,0
2026-05-19T18:24:27.966Z,1
2026-05-19T18:24:28.029Z,1
2026-05-19T19:00:13.686Z,0
2026-05-20T05:00:01.985Z,1
2026-05-20T08:58:51.684Z,2
2026-05-20T17:54:28.537Z,1
2026-05-20T19:00:00.077Z,0
2026-05-21T05:00:00.433Z,1
2026-05-21T09:00:27.759Z,2
2026-05-21T18:36:30.841Z,1
2026-05-21T19:00:00.1Z,0
2026-05-22T05:00:00.263Z,1
2026-05-22T07:14:47.202Z,2
2026-05-22T08:01:26.826Z,1
2026-05-22T09:02:05.05Z,2
2026-05-22T18:38:45.873Z,1
2026-05-22T19:00:01.962Z,0
2026-05-23T05:00:09.714Z,1
2026-05-23T07:04:12.971Z,2
2026-05-23T18:41:10.62Z,1
2026-05-23T19:00:01.257Z,0
2026-05-24T05:00:10.959Z,1
2026-05-24T07:19:57.162Z,2
2026-05-24T18:52:15.735Z,1
2026-05-24T19:00:01.083Z,0
2026-05-25T05:00:00.067Z,1
2026-05-25T09:28:23.128Z,2
2026-05-25T18:27:52.908Z,1
