_time,_value
2026-04-26T09:09:20.903Z,1
2026-04-26T10:00:00.055Z,0
2026-04-27T09:33:31.709Z,1
2026-04-27T10:00:00.074Z,0
2026-04-28T06:38:31.487Z,1
2026-04-30T09:44:54.552Z,1
2026-04-30T10:00:00.059Z,0
2026-05-05T09:19:54.265Z,1
2026-05-05T10:00:00.064Z,0
2026-05-05T10:33:11.844Z,1
2026-05-05T10:53:26.2Z,0
2026-05-05T11:08:45.772Z,1
2026-05-05T11:28:56.52Z,0
2026-05-05T11:46:07.653Z,1
2026-05-05T12:09:53.662Z,0
2026-05-05T12:14:53.566Z,1
2026-05-05T12:19:54.607Z,0
2026-05-05T12:29:53.548Z,1
2026-05-05T14:06:55.588Z,0
2026-05-06T09:24:53.552Z,1
2026-05-06T09:34:53.539Z,0
2026-05-06T09:39:55.545Z,1
2026-05-06T09:44:53.713Z,0
2026-05-06T09:49:53.572Z,1
2026-05-06T09:54:53.525Z,0
2026-05-06T09:59:53.897Z,1
2026-05-06T10:04:53.548Z,0
2026-05-06T10:09:54.174Z,1
2026-05-06T10:39:53.6Z,0
2026-05-06T10:44:53.568Z,1
2026-05-06T11:04:53.603Z,0
2026-05-06T11:09:53.568Z,1
2026-05-06T11:24:53.55Z,0
2026-05-06T11:29:53.568Z,1
2026-05-06T12:29:53.559Z,0
2026-05-06T12:34:53.971Z,1
2026-05-06T13:44:53.58Z,0
2026-05-06T13:49:53.552Z,1
2026-05-06T13:54:53.579Z,0
2026-05-06T13:59:53.529Z,1
2026-05-06T14:00:00.436Z,0
2026-05-07T13:59:53.496Z,1
2026-05-07T14:00:00.119Z,0
2026-05-08T10:29:53.6Z,1
2026-05-08T10:34:54.017Z,0
2026-05-08T10:54:53.567Z,1
2026-05-08T11:19:53.594Z,0
2026-05-08T11:24:53.618Z,1
2026-05-08T11:59:53.448Z,0
2026-05-08T12:19:53.423Z,1
2026-05-08T14:00:00.053Z,0
2026-05-09T12:24:53.408Z,1
2026-05-09T14:00:00.065Z,0
2026-05-11T05:00:00.155Z,0
2026-05-11T09:09:53.406Z,0
2026-05-11T14:00:00.058Z,0
2026-05-11T15:49:53.309Z,0
2026-05-12T05:00:00.746Z,0
2026-05-12T08:29:53.411Z,0
2026-05-12T08:34:53.395Z,0
2026-05-12T08:54:53.399Z,0
2026-05-12T09:04:53.419Z,0
2026-05-12T10:04:53.401Z,0
2026-05-12T10:09:53.449Z,0
2026-05-12T10:14:54.326Z,0
2026-05-12T10:19:53.257Z,0
2026-05-12T10:24:53.425Z,0
2026-05-12T11:34:53.33Z,0
2026-05-12T11:39:53.918Z,0
2026-05-12T12:04:53.684Z,0
2026-05-12T12:24:54.023Z,0
2026-05-12T12:44:53.449Z,0
2026-05-12T12:49:54.071Z,0
2026-05-12T12:54:53.306Z,0
2026-05-12T12:59:53.263Z,0
2026-05-12T13:02:11.717Z,2
2026-05-12T13:02:11.787Z,3
2026-05-12T13:02:12.645Z,3
2026-05-12T13:02:12.688Z,3
2026-05-12T13:39:53.646Z,1
2026-05-12T13:49:53.366Z,3
2026-05-12T14:00:00.089Z,0
2026-05-12T14:54:53.549Z,0
2026-05-13T05:00:00.124Z,1
2026-05-13T09:04:53.388Z,3
2026-05-13T09:34:53.433Z,1
2026-05-13T09:39:53.302Z,3
2026-05-13T09:49:53.458Z,1
2026-05-13T09:54:53.391Z,3
2026-05-13T11:29:53.485Z,1
2026-05-13T11:34:53.782Z,3
2026-05-13T12:44:54.55Z,1
2026-05-13T12:54:53.402Z,3
2026-05-13T12:59:53.514Z,1
2026-05-13T13:04:53.89Z,3
2026-05-13T13:19:53.519Z,1
2026-05-13T13:24:53.454Z,3
2026-05-13T13:44:53.419Z,1
2026-05-13T14:00:00.417Z,0
2026-05-13T14:34:53.367Z,0
2026-05-13T14:39:53.374Z,0
2026-05-13T15:04:53.389Z,0
2026-05-13T15:09:53.338Z,0
2026-05-14T05:00:00.153Z,1
2026-05-14T08:19:53.251Z,3
2026-05-14T08:24:53.472Z,1
