_time,_value
2026-04-24T06:06:02.866Z,1
2026-05-11T03:00:00.041Z,0
2026-05-11T07:19:53.384Z,0
2026-05-11T16:44:53.457Z,0
2026-05-11T17:00:00.1Z,0
2026-05-12T03:00:00.133Z,0
2026-05-12T07:34:53.31Z,0
2026-05-12T07:39:53.727Z,0
2026-05-12T07:44:53.395Z,0
2026-05-12T07:49:53.437Z,0
2026-05-12T07:54:53.372Z,0
2026-05-12T08:09:53.387Z,0
2026-05-12T08:19:53.377Z,0
2026-05-12T08:34:53.448Z,0
2026-05-12T08:39:53.263Z,0
2026-05-12T08:44:53.301Z,0
2026-05-12T08:54:53.431Z,0
2026-05-12T09:04:53.473Z,0
2026-05-12T09:49:53.307Z,0
2026-05-12T09:59:53.489Z,0
2026-05-12T10:04:53.439Z,0
2026-05-12T11:34:53.369Z,0
2026-05-12T11:39:53.944Z,0
2026-05-12T12:19:53.375Z,0
2026-05-12T12:24:54.062Z,0
2026-05-12T12:44:53.495Z,0
2026-05-12T12:49:54.103Z,0
2026-05-12T13:39:53.502Z,0
2026-05-12T13:49:53.303Z,0
2026-05-12T14:54:53.422Z,0
2026-05-12T14:59:53.409Z,0
2026-05-12T16:49:53.293Z,0
2026-05-12T17:00:00.088Z,0
2026-05-13T03:00:00.052Z,0
2026-05-13T07:19:53.779Z,0
2026-05-13T09:34:53.307Z,0
2026-05-13T09:39:53.241Z,0
2026-05-13T09:49:53.295Z,0
2026-05-13T09:54:53.313Z,0
2026-05-13T11:29:53.315Z,0
2026-05-13T11:34:53.721Z,0
2026-05-13T12:44:54.419Z,0
2026-05-13T12:54:53.278Z,0
2026-05-13T12:59:53.352Z,0
2026-05-13T13:04:53.782Z,0
2026-05-13T13:19:53.32Z,0
2026-05-13T13:24:53.373Z,0
2026-05-13T13:44:53.284Z,0
2026-05-13T13:49:53.201Z,0
2026-05-13T13:54:53.285Z,0
2026-05-13T14:19:53.191Z,0
2026-05-13T14:24:53.337Z,0
2026-05-13T14:29:54.541Z,0
2026-05-13T14:39:53.24Z,0
2026-05-13T15:04:53.316Z,0
2026-05-13T15:09:53.225Z,0
2026-05-13T16:29:53.259Z,0
2026-05-13T16:34:53.233Z,0
2026-05-13T16:39:53.489Z,0
2026-05-13T16:44:53.243Z,0
2026-05-13T17:00:00.103Z,0
2026-05-14T03:00:00.037Z,0
2026-05-14T07:09:53.241Z,0
2026-05-14T07:29:53.189Z,0
2026-05-14T07:39:55.388Z,0
2026-05-14T07:44:53.273Z,0
2026-05-14T07:49:53.31Z,0
2026-05-14T07:54:56.126Z,0
2026-05-14T08:04:53.587Z,0
2026-05-14T08:24:53.349Z,0
2026-05-14T08:29:53.287Z,0
2026-05-14T08:34:53.747Z,0
2026-05-14T08:59:53.334Z,0
2026-05-14T11:19:53.301Z,0
2026-05-14T11:24:53.217Z,0
