_time,_value
2026-07-03T06:24:35Z,3
2026-07-03T06:24:35.598Z,3
2026-07-03T20:00:00Z,0
2026-07-03T20:00:00.093Z,0
2026-07-03T21:08:02Z,0
2026-07-03T21:08:02.898Z,0
2026-07-04T05:00:00Z,1
2026-07-04T05:00:00.12Z,1
2026-07-04T07:01:00Z,3
2026-07-04T07:01:00.352Z,3
2026-07-04T20:00:00Z,0
2026-07-04T20:00:02.337Z,0
2026-07-04T21:46:40Z,0
2026-07-04T21:46:40.608Z,0
2026-07-05T05:00:00Z,1
2026-07-05T05:00:00.492Z,1
2026-07-05T07:07:14Z,3
2026-07-05T07:07:14.847Z,3
2026-07-05T20:00:00Z,0
2026-07-05T20:00:02.551Z,0
2026-07-05T21:36:55Z,0
2026-07-05T21:36:56.283Z,0
2026-07-06T05:00:00Z,1
2026-07-06T05:00:00.169Z,1
2026-07-06T07:03:26Z,3
2026-07-06T07:03:28.967Z,3
2026-07-06T20:00:00Z,0
2026-07-06T20:00:00.106Z,0
2026-07-06T22:07:24Z,0
2026-07-06T22:07:26.381Z,0
2026-07-07T05:00:00Z,1
2026-07-07T05:00:03.166Z,1
2026-07-07T07:18:55Z,3
2026-07-07T07:18:55.642Z,3
2026-07-07T20:00:00Z,0
2026-07-07T20:00:00.098Z,0
2026-07-07T23:15:07Z,0
2026-07-07T23:15:13.849Z,0
2026-07-08T05:00:00Z,1
2026-07-08T05:00:00.068Z,1
2026-07-08T06:56:32Z,3
2026-07-08T06:56:32.528Z,3
2026-07-08T20:00:00Z,0
2026-07-08T20:00:01.265Z,0
2026-07-08T23:04:22Z,0
2026-07-08T23:04:22.864Z,0
2026-07-09T05:00:00Z,1
2026-07-09T05:00:00.175Z,1
2026-07-09T06:20:25Z,3
2026-07-09T06:20:25.94Z,3
2026-07-09T20:00:00Z,0
2026-07-09T20:00:00.084Z,0
2026-07-09T23:22:16Z,0
2026-07-09T23:22:16.408Z,0
2026-07-10T05:00:00Z,1
2026-07-10T05:00:00.462Z,1
2026-07-10T06:45:50Z,3
2026-07-10T06:45:50.577Z,3
2026-07-10T20:00:00Z,0
2026-07-10T20:00:00.107Z,0
2026-07-10T22:44:59Z,0
2026-07-10T22:44:59.481Z,0
2026-07-11T05:00:00Z,1
