temp_band,hum_band,daypart,action,value
<20,45-60,0,ventilate,-29.576
<20,45-60,1,ventilate,-21.428
<20,45-60,2,heat,-0.667
<20,45-60,3,passive,-30.382
<20,60-75,0,heat,-27.392
<20,60-75,1,shade+vent,-25.182
<20,60-75,2,heat,0.0
<20,60-75,3,heat,-29.213
<20,>75,0,heat,-30.279
<20,>75,1,fog_cool,-16.973
<20,>75,3,heat,-30.719
20-23,<45,2,ventilate,-4.221
20-23,<45,3,heat,-12.35
20-23,45-60,0,fog_cool,-17.882
20-23,45-60,1,ventilate,-28.216
20-23,45-60,2,heat,-19.211
20-23,45-60,3,fog_cool,-28.095
20-23,60-75,0,ventilate,-26.748
20-23,60-75,1,heat,-26.372
20-23,60-75,2,shade+vent,-4.104
20-23,60-75,3,heat,-28.41
20-23,>75,0,heat,-23.717
20-23,>75,1,fog_cool,-11.628
20-23,>75,3,ventilate,-24.598
23-26,<45,1,ventilate,-27.951
23-26,<45,2,fog_cool,-17.134
23-26,<45,3,recirculate,-21.12
23-26,45-60,0,fog_cool,-8.698
23-26,45-60,1,ventilate,-31.084
23-26,45-60,2,ventilate,-22.615
23-26,45-60,3,passive,-25.557
23-26,60-75,0,passive,-24.036
23-26,60-75,1,ventilate,-28.119
23-26,60-75,2,recirculate,-3.758
23-26,60-75,3,recirculate,-20.369
23-26,>75,0,fog_cool,-22.669
23-26,>75,1,passive,-24.721
23-26,>75,3,shade+vent,-22.104
26-29,<45,1,ventilate,-29.966
26-29,<45,2,passive,-26.515
26-29,<45,3,shade+vent,-23.594
26-29,45-60,0,shade+vent,-2.658
26-29,45-60,1,ventilate,-33.662
26-29,45-60,2,ventilate,-24.201
26-29,45-60,3,heat,-21.646
26-29,60-75,0,shade+vent,-1.129
26-29,60-75,1,passive,-29.283
26-29,60-75,2,passive,-19.855
26-29,60-75,3,heat,-17.378
26-29,>75,1,heat,-12.966
26-29,>75,3,ventilate,-1.919
>29,<45,1,shade+vent,-34.285
>29,<45,2,passive,-32.612
>29,<45,3,recirculate,-21.617
>29,45-60,1,recirculate,-35.162
>29,45-60,2,fog_cool,-30.425
>29,45-60,3,passive,-22.549
>29,60-75,1,fog_cool,-28.884
>29,60-75,2,fog_cool,-26.231
>29,60-75,3,ventilate,-19.657
>29,>75,0,ventilate,-19.665
>29,>75,1,ventilate,-21.753
>29,>75,2,passive,-16.824
>29,>75,3,shade+vent,-21.421
