_time,_value
2026-01-04T08:12:56.621Z,88.1
2026-01-04T08:16:01.743Z,88.1
2026-01-04T08:20:06.768Z,88.2
2026-01-04T08:25:17.789Z,88.3
2026-01-04T08:29:58.461Z,88.4
2026-01-04T08:31:01.392Z,88.4
2026-01-04T08:33:10.981Z,88.5
2026-01-04T08:37:02.597Z,88.6
2026-01-04T08:42:11.686Z,88.7
2026-01-04T08:46:01.851Z,88.7
2026-01-04T08:54:48.979Z,88.8
2026-01-04T09:01:01.762Z,88.8
2026-01-04T09:10:45.748Z,88.9
2026-01-04T09:16:14.121Z,89.0
2026-01-04T09:31:01.914Z,89.1
2026-01-04T09:46:01.576Z,89.1
2026-01-04T09:53:23.573Z,89.2
2026-01-04T10:16:01.466Z,89.2
2026-01-04T10:31:01.815Z,89.2
2026-01-04T10:46:01.63Z,89.2
2026-01-04T11:01:01.719Z,89.2
2026-01-04T21:35:57.1Z,89.3
2026-01-04T21:46:01.607Z,89.3
2026-01-04T22:46:01.65Z,89.3
2026-01-04T23:20:05.096Z,89.4
2026-01-04T23:31:01.787Z,89.4
2026-01-04T23:46:12.965Z,89.5
2026-01-04T23:50:35.94Z,89.6
2026-01-04T23:52:59.6Z,89.7
2026-01-04T23:54:44.087Z,89.8
2026-01-04T23:56:31.526Z,89.9
2026-01-04T23:58:49.982Z,90.0
2026-01-05T00:01:01.478Z,90.0
2026-01-05T00:02:24.742Z,90.1
2026-01-05T00:16:01.859Z,90.1
2026-01-05T00:17:55.238Z,90.2
2026-01-05T00:30:19.538Z,90.3
2026-01-05T00:31:01.7Z,90.3
2026-01-05T00:36:12.932Z,90.4
2026-01-05T00:41:42.031Z,90.5
2026-01-05T00:46:01.408Z,90.5
2026-01-05T00:50:47.784Z,90.6
2026-01-05T00:58:13.315Z,90.7
2026-01-05T01:01:01.729Z,90.7
2026-01-05T01:03:38.029Z,90.8
2026-01-05T01:07:37.922Z,90.9
2026-01-05T01:12:21.527Z,91.0
2026-01-05T01:16:01.993Z,91.0
2026-01-05T01:17:48.885Z,91.1
2026-01-05T01:22:54.333Z,91.2
2026-01-05T01:26:36.999Z,91.3
2026-01-05T01:30:54.796Z,91.4
2026-01-05T01:35:09.725Z,91.5
2026-01-05T01:38:39.999Z,91.6
2026-01-05T01:41:39.215Z,91.7
2026-01-05T01:45:03.041Z,91.8
2026-01-05T01:46:01.438Z,91.8
2026-01-05T01:47:47.224Z,91.9
2026-01-05T01:51:26.832Z,92.0
2026-01-05T01:54:42.933Z,92.1
2026-01-05T01:57:45.062Z,92.2
2026-01-05T02:00:09.758Z,92.3
2026-01-05T02:01:01.764Z,92.3
2026-01-05T02:02:41.791Z,92.4
2026-01-05T02:05:05.576Z,92.5
2026-01-05T02:08:08.277Z,92.6
2026-01-05T02:11:13.117Z,92.7
2026-01-05T02:14:24.063Z,92.8
2026-01-05T02:16:01.406Z,92.8
2026-01-05T02:17:21.321Z,92.9
2026-01-05T02:21:08.501Z,93.0
2026-01-05T02:24:32.067Z,93.1
2026-01-05T02:28:33.881Z,93.2
2026-01-05T02:32:20.318Z,93.3
2026-01-05T02:35:43.816Z,93.4
2026-01-05T02:38:42.827Z,93.5
2026-01-05T02:42:14.321Z,93.6
2026-01-05T02:44:57.289Z,93.7
2026-01-05T02:46:00.422Z,93.7
2026-01-05T02:47:24.16Z,93.8
2026-01-05T02:49:29.481Z,93.9
2026-01-05T02:51:38.963Z,94.0
2026-01-05T02:53:33.422Z,94.1
2026-01-05T02:55:59.408Z,94.2
2026-01-05T02:58:09.469Z,94.3
2026-01-05T03:00:46.783Z,94.4
2026-01-05T03:01:01.49Z,94.4
2026-01-05T03:03:25.984Z,94.5
2026-01-05T03:06:34.894Z,94.6
2026-01-05T03:09:27.723Z,94.7
2026-01-05T03:12:04.646Z,94.8
2026-01-05T03:14:39.649Z,94.9
2026-01-05T03:18:01.383Z,95.0
2026-01-05T03:21:10.535Z,95.1
2026-01-05T03:24:36.81Z,95.2
2026-01-05T03:27:35.805Z,95.3
2026-01-05T03:31:52.053Z,95.4
2026-01-05T03:35:03.883Z,95.5
2026-01-05T03:37:52.563Z,95.6
2026-01-05T03:40:06.299Z,95.7
2026-01-05T03:42:41.019Z,95.8
2026-01-05T03:45:08.699Z,95.9
2026-01-05T03:46:01.463Z,95.9
2026-01-05T03:47:47.049Z,96.0
2026-01-05T03:50:25.523Z,96.1
2026-01-05T03:53:50.574Z,96.2
2026-01-05T03:56:43.245Z,96.3
2026-01-05T03:59:49.961Z,96.4
2026-01-05T04:01:01.392Z,96.4
2026-01-05T04:02:55.926Z,96.5
2026-01-05T04:05:23.204Z,96.6
2026-01-05T04:08:04.611Z,96.7
2026-01-05T04:11:15.309Z,96.8
2026-01-05T04:13:24.209Z,96.9
2026-01-05T04:15:41.186Z,97.0
2026-01-05T04:16:01.486Z,97.0
2026-01-05T04:18:06.027Z,97.1
2026-01-05T04:20:42.774Z,97.2
2026-01-05T04:22:52.181Z,97.3
2026-01-05T04:25:16.058Z,97.4
2026-01-05T04:27:54.659Z,97.5
