run,block,cells_ok,cells,exact,mismatches,washout_clean,peak_temp,safety_hot
1,2026-08-20 00:00:00,7,7,True,,True,37.2,False
2,2026-08-20 03:00:00,7,7,True,,True,33.3,False
3,2026-08-20 06:00:00,7,7,True,,True,32.0,False
4,2026-08-20 09:00:00,7,7,True,,True,44.2,False
5,2026-08-20 12:00:00,7,7,True,,True,50.6,True
6,2026-08-20 15:00:00,7,7,True,,True,46.9,True
7,2026-08-20 18:00:00,7,7,True,,True,37.4,False
8,2026-08-20 21:00:00,7,7,True,,True,27.9,False
9,2026-08-21 00:00:00,7,7,True,,True,24.3,False
10,2026-08-21 03:00:00,7,7,True,,True,23.5,False
11,2026-08-21 06:00:00,7,7,True,,True,23.5,False
12,2026-08-21 09:00:00,7,7,True,,True,29.1,False
13,2026-08-21 12:00:00,7,7,True,,True,42.1,False
14,2026-08-21 15:00:00,7,7,True,,True,49.1,True
15,2026-08-21 18:00:00,7,7,True,,True,45.2,True
16,2026-08-21 21:00:00,7,7,True,,True,37.8,False
17,2026-08-22 00:00:00,7,7,True,,True,37.8,False
18,2026-08-22 03:00:00,7,7,True,,True,26.9,False
19,2026-08-22 06:00:00,7,7,True,,True,25.4,False
20,2026-08-22 09:00:00,7,7,True,,True,28.6,False
21,2026-08-22 12:00:00,7,7,True,,True,39.4,False
22,2026-08-22 15:00:00,7,7,True,,True,45.8,True
23,2026-08-22 18:00:00,7,7,True,,True,42.5,False
24,2026-08-22 21:00:00,7,7,True,,True,30.1,False
