block_id,n,block,cells_ok,cells,exact,mismatches,washout_clean,prescribed_all_zero,executed,not_queued,centro_peak,min_over_50
D001,1,2026-08-20 00:00:00,7,7,True,,True,False,True,False,36.7,0
D002,2,2026-08-20 03:00:00,7,7,True,,True,False,True,False,33.3,0
D003,3,2026-08-20 06:00:00,7,7,True,,True,False,True,False,32.0,0
D004,4,2026-08-20 09:00:00,7,7,True,,True,False,True,False,43.1,0
D005,5,2026-08-20 12:00:00,7,7,True,,True,False,True,False,49.7,0
D006,6,2026-08-20 15:00:00,7,7,True,,True,False,True,False,44.5,0
D007,7,2026-08-20 18:00:00,7,7,True,,True,False,True,False,37.1,0
D008,8,2026-08-20 21:00:00,7,7,True,,True,False,True,False,27.6,0
D009,9,2026-08-21 00:00:00,7,7,True,,True,False,True,False,24.3,0
D010,10,2026-08-21 03:00:00,7,7,True,,True,False,True,False,23.5,0
D011,11,2026-08-21 06:00:00,7,7,True,,True,False,True,False,22.1,0
D012,12,2026-08-21 09:00:00,7,7,True,,True,False,True,False,27.2,0
D013,13,2026-08-21 12:00:00,7,7,True,,True,False,True,False,38.0,0
D014,14,2026-08-21 15:00:00,7,7,True,,True,False,True,False,49.1,0
D015,15,2026-08-21 18:00:00,7,7,True,,True,False,True,False,45.2,0
D016,16,2026-08-21 21:00:00,7,7,True,,True,False,True,False,32.6,0
D017,17,2026-08-22 00:00:00,7,7,True,,True,False,True,False,30.5,0
D018,18,2026-08-22 03:00:00,7,7,True,,True,False,True,False,26.4,0
D019,19,2026-08-22 06:00:00,7,7,True,,True,False,True,False,25.2,0
D020,20,2026-08-22 09:00:00,7,7,True,,True,False,True,False,28.1,0
D021,21,2026-08-22 12:00:00,7,7,True,,True,False,True,False,39.4,0
D022,22,2026-08-22 15:00:00,7,7,True,,True,False,True,False,45.8,0
D023,23,2026-08-22 18:00:00,7,7,True,,True,False,True,False,42.5,0
D024,24,2026-08-22 21:00:00,7,7,True,,True,False,True,False,30.1,0
D025,25,2026-08-23 00:00:00,3,7,False,"LIGHTS: want 6, got 0; FOG: want 5, got 0; VENT_ROOF: want 100, got 0; SHADE: want 50, got 0",True,False,False,True,26.7,0
D026,26,2026-08-23 03:00:00,7,7,True,,True,False,True,False,25.6,0
D027,27,2026-08-23 06:00:00,7,7,True,,True,False,True,False,24.4,0
D028,28,2026-08-23 09:00:00,7,7,True,,True,False,True,False,29.1,0
D029,29,2026-08-23 12:00:00,7,7,True,,True,False,True,False,41.0,0
D030,30,2026-08-23 15:00:00,7,7,True,,True,False,True,False,48.2,0
D031,31,2026-08-23 18:00:00,7,7,True,,True,False,True,False,35.4,0
D032,32,2026-08-23 21:00:00,7,7,True,,True,False,True,False,30.4,0
D033,33,2026-08-24 00:00:00,7,7,True,,True,False,True,False,28.9,0
D034,34,2026-08-24 03:00:00,7,7,True,,True,False,True,False,27.2,0
D035,35,2026-08-24 06:00:00,7,7,True,,True,False,True,False,26.2,0
D036,36,2026-08-24 09:00:00,7,7,True,,True,False,True,False,26.1,0
D037,37,2026-08-24 12:00:00,7,7,True,,True,False,True,False,31.1,0
D038,38,2026-08-24 15:00:00,7,7,True,,True,False,True,False,44.5,0
D039,39,2026-08-24 18:00:00,7,7,True,,True,False,True,False,45.0,0
D040,40,2026-08-24 21:00:00,7,7,True,,True,False,True,False,31.6,0
D041,41,2026-08-25 00:00:00,7,7,True,,True,False,True,False,28.9,0
D042,42,2026-08-25 03:00:00,7,7,True,,True,False,True,False,25.7,0
D043,43,2026-08-25 06:00:00,7,7,True,,True,False,True,False,24.5,0
D044,44,2026-08-25 09:00:00,7,7,True,,True,False,True,False,27.0,0
D045,45,2026-08-25 12:00:00,7,7,True,,True,False,True,False,39.8,0
D046,46,2026-08-25 15:00:00,7,7,True,,True,False,True,False,49.2,0
D047,47,2026-08-25 18:00:00,7,7,True,,True,False,True,False,45.1,0
D048,48,2026-08-25 21:00:00,7,7,True,,True,False,True,False,31.4,0
D049,49,2026-08-26 00:00:00,7,7,True,,True,False,True,False,26.1,0
D050,50,2026-08-26 03:00:00,7,7,True,,True,False,True,False,26.5,0
D051,51,2026-08-26 06:00:00,7,7,True,,True,False,True,False,25.1,0
D052,52,2026-08-26 09:00:00,7,7,True,,True,False,True,False,27.6,0
D053,53,2026-08-26 12:00:00,7,7,True,,True,False,True,False,44.5,0
D054,54,2026-08-26 15:00:00,7,7,True,,True,False,True,False,49.0,0
D055,55,2026-08-26 18:00:00,7,7,True,,True,False,True,False,44.2,0
D056,56,2026-08-26 21:00:00,7,7,True,,True,False,True,False,30.7,0
D057,57,2026-08-27 00:00:00,7,7,True,,True,False,True,False,24.9,0
D058,58,2026-08-27 03:00:00,7,7,True,,True,False,True,False,24.1,0
D059,59,2026-08-27 06:00:00,7,7,True,,True,False,True,False,23.8,0
D060,60,2026-08-27 09:00:00,7,7,True,,True,False,True,False,27.6,0
D061,61,2026-08-27 12:00:00,1,7,False,"LIGHTS: want 8, got 0; FOG: want 5, got 0; VENT_ROOF: want 75, got 0; VENT_SIDE: want 50, got 0; RECIRC: want 1, got 0; RECIRC2: want 1, got 0",True,False,False,True,50.3,12
D062,62,2026-08-27 15:00:00,7,7,True,,True,False,True,False,52.4,6
D063,63,2026-08-27 18:00:00,7,7,True,,True,False,True,False,43.8,0
D064,64,2026-08-27 21:00:00,7,7,True,,True,False,True,False,32.0,0
D065,65,2026-08-28 00:00:00,7,7,True,,True,False,True,False,29.7,0
D066,66,2026-08-28 03:00:00,7,7,True,,True,False,True,False,27.7,0
D067,67,2026-08-28 06:00:00,7,7,True,,True,False,True,False,25.9,0
D068,68,2026-08-28 09:00:00,7,7,True,,True,False,True,False,25.5,0
D069,69,2026-08-28 12:00:00,7,7,True,,True,False,True,False,26.3,0
D070,70,2026-08-28 15:00:00,7,7,True,,True,False,True,False,25.9,0
D071,71,2026-08-28 18:00:00,7,7,True,,True,False,True,False,30.8,0
D072,72,2026-08-28 21:00:00,7,7,True,,True,False,True,False,26.3,0
D073,73,2026-08-29 00:00:00,7,7,True,,True,False,True,False,22.9,0
D074,74,2026-08-29 03:00:00,7,7,True,,True,False,True,False,20.8,0
D075,75,2026-08-29 06:00:00,7,7,True,,True,False,True,False,18.2,0
D076,76,2026-08-29 09:00:00,7,7,True,,True,False,True,False,35.4,0
D077,77,2026-08-29 12:00:00,7,7,True,,True,False,True,False,43.2,0
D078,78,2026-08-29 15:00:00,7,7,True,,True,False,True,False,47.9,0
D079,79,2026-08-29 18:00:00,7,7,True,,True,False,True,False,43.5,0
D080,80,2026-08-29 21:00:00,0,7,False,"LIGHTS: want 6, got 0; FOG: want 20, got 0; VENT_ROOF: want 25, got 0; VENT_SIDE: want 50, got 0; SHADE: want 100, got 0; RECIRC: want 1, got 0; RECIRC2: want 1, got 0",True,False,False,True,29.3,0
D081,81,2026-08-30 00:00:00,7,7,True,,True,False,True,False,24.0,0
D082,82,2026-08-30 03:00:00,3,7,False,"LIGHTS: want 4, got 0; FOG: want 20, got 0; SHADE: want 50, got 0; RECIRC: want 1, got 0",True,False,False,True,22.1,0
D083,83,2026-08-30 06:00:00,7,7,True,,True,False,True,False,20.4,0
D084,84,2026-08-30 09:00:00,7,7,True,,True,False,True,False,31.2,0
D085,85,2026-08-30 12:00:00,7,7,True,,True,False,True,False,41.8,0
D086,86,2026-08-30 15:00:00,7,7,True,,True,False,True,False,50.6,4
D087,87,2026-08-30 18:00:00,7,7,True,,True,False,True,False,44.3,0
D088,88,2026-08-30 21:00:00,7,7,True,,True,False,True,False,30.5,0
D089,89,2026-08-31 00:00:00,7,7,True,,True,False,True,False,23.5,0
D090,90,2026-08-31 03:00:00,7,7,True,,True,False,True,False,22.1,0
D091,91,2026-08-31 06:00:00,7,7,True,,True,False,True,False,20.1,0
D092,92,2026-08-31 09:00:00,7,7,True,,True,False,True,False,29.4,0
D093,93,2026-08-31 12:00:00,7,7,True,,True,False,True,False,43.0,0
D094,94,2026-08-31 15:00:00,7,7,True,,True,False,True,False,48.5,0
D095,95,2026-08-31 18:00:00,2,7,False,"LIGHTS: want 4, got 0; VENT_ROOF: want 100, got 0; SHADE: want 50, got 0; RECIRC: want 1, got 0; RECIRC2: want 1, got 0",True,False,False,True,42.9,0
D096,96,2026-08-31 21:00:00,7,7,True,,True,False,True,False,29.4,0
