sensor,n,start,end,median_dt_s,n_gaps_gt5min,max_gap_min,out_of_range,longest_flat_min,frozen_from,frozen_value,dead
temp_alta,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,2,23989,2026-08-22 09:10:00,27.9,True
temp_centro,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,7,,,False
temp_baja,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,23990,2026-08-22 09:09:00,27.5,True
hum_alta,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,23995,2026-08-22 09:04:00,80.0,True
hum_centro,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,266,,,False
hum_baja,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,23992,2026-08-22 09:07:00,80.0,True
co2,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,167,,,False
dpv,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,1063,268,,,False
par,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,22687,23989,2026-08-22 09:10:00,542.38,True
rad,200528,2026-08-03 02:00:11.293,2026-09-08 00:59:41.508,15.1,0,0.0,0,23990,2026-08-22 09:09:00,144.1,True
