name,start,note,devices,all_zero,cells_ok,cells,exact,mismatches,guard_min_above,centro_min_above,centro_peak,blind,note_kind,note_minutes,guard_agrees
B3,2026-08-08 06:00:00,Fallo,2,False,0,2,False,"ventana cenital oeste: want 50, got 0; ventana cenital este: want 50, got 0",0.0,0.0,25.0,False,queue,,
B13,2026-08-09 12:00:00,18 min +50º,2,True,2,2,True,,6.0,15.0,50.7,True,guard,18.0,False
B18,2026-08-10 03:00:00,Fallo,3,True,3,3,True,,0.0,0.0,27.8,True,queue,,
B21,2026-08-10 12:00:00,19 min +50º,3,True,3,3,True,,5.0,7.0,50.2,True,guard,19.0,False
B22,2026-08-10 15:00:00,Fallo,3,True,3,3,True,,0.0,0.0,47.0,True,queue,,
B24,2026-08-10 21:00:00,Fallo,3,False,0,3,False,"ventana lateral norte: want 50, got 0; ventana lateral oeste: want 50, got 0; ventana lateral sur: want 50, got 0",0.0,0.0,27.9,False,queue,,
B29,2026-08-11 12:00:00,9 min +50º,1,False,1,1,True,,2.0,0.0,49.9,False,guard,9.0,False
B30,2026-08-11 15:00:00,15 min +50º,1,True,1,1,True,,4.0,0.0,49.2,True,guard,15.0,False
B38,2026-08-12 15:00:00,15 min +50º,1,False,1,1,True,,3.0,0.0,49.1,False,guard,15.0,False
B46,2026-08-13 15:00:00,29 min +50º,6,True,6,6,True,,5.0,0.0,49.7,True,guard,29.0,False
B53,2026-08-14 12:00:00,28 min +50º,6,False,6,6,True,,6.0,0.0,49.6,False,guard,28.0,False
B54,2026-08-14 15:00:00,41 min +50º,6,False,6,6,True,,8.0,0.0,49.8,False,guard,41.0,False
C30,2026-08-19 15:00:00,60 min +50º,15,False,9,15,False,"ventana cenital oeste: want 0, got 100; ventana cenital este: want 0, got 100; ventana lateral norte: want 0, got 100; ventana lateral oeste: want 0, got 100; ventana lateral sur: want 0, got 100; pantalla de sombreo cenital: want 100, got 0",6.0,19.0,50.5,False,guard,60.0,False
D05,2026-08-20 12:00:00,17 min +50º,15,False,15,15,True,,0.0,0.0,49.7,False,guard,17.0,False
D06,2026-08-20 15:00:00,1 min +50º,15,False,15,15,True,,0.0,0.0,44.5,False,guard,1.0,True
D25,2026-08-23 00:00:00,Fallo,15,False,5,15,False,"luz artificial sur-oeste: want 6, got 0; luz artificial centro-oeste: want 6, got 0; luz artificial centro-este: want 6, got 0; luz artificial sur-este: want 6, got 0; luz artificial nor-este: want 6, got 0; luz artificial nor-oeste: want 6, got 0; fog: want 5, got 0; ventana cenital oeste: want 100, got 0; ventana cenital este: want 100, got 0; pantalla de sombreo cenital: want 50, got 0",,0.0,26.7,False,queue,,
D61,2026-08-27 12:00:00,Fallo,15,False,1,15,False,"luz artificial sur-oeste: want 8, got 0; luz artificial centro-oeste: want 8, got 0; luz artificial centro-este: want 8, got 0; luz artificial sur-este: want 8, got 0; luz artificial nor-este: want 8, got 0; luz artificial nor-oeste: want 8, got 0; fog: want 5, got 0; ventana cenital oeste: want 75, got 0; ventana cenital este: want 75, got 0; ventana lateral norte: want 50, got 0; ventana lateral oeste: want 50, got 0; ventana lateral sur: want 50, got 0; recirculador centro: want 1, got 0; calefactores: want 1, got 0",,12.0,50.3,False,queue,,
D80,2026-08-29 21:00:00,Fallo,15,False,0,15,False,"luz artificial sur-oeste: want 6, got 0; luz artificial centro-oeste: want 6, got 0; luz artificial centro-este: want 6, got 0; luz artificial sur-este: want 6, got 0; luz artificial nor-este: want 6, got 0; luz artificial nor-oeste: want 6, got 0; fog: want 20, got 0; ventana cenital oeste: want 25, got 0; ventana cenital este: want 25, got 0; ventana lateral norte: want 50, got 0; ventana lateral oeste: want 50, got 0; ventana lateral sur: want 50, got 0; pantalla de sombreo cenital: want 100, got 0; recirculador centro: want 1, got 0; calefactores: want 1, got 0",,0.0,29.3,False,queue,,
D82,2026-08-30 03:00:00,Fallo,15,False,6,15,False,"luz artificial sur-oeste: want 4, got 0; luz artificial centro-oeste: want 4, got 0; luz artificial centro-este: want 4, got 0; luz artificial sur-este: want 4, got 0; luz artificial nor-este: want 4, got 0; luz artificial nor-oeste: want 4, got 0; fog: want 20, got 0; pantalla de sombreo cenital: want 50, got 0; recirculador centro: want 1, got 0",,0.0,22.1,False,queue,,
D95,2026-08-31 18:00:00,Fallo,15,False,4,15,False,"luz artificial sur-oeste: want 4, got 0; luz artificial centro-oeste: want 4, got 0; luz artificial centro-este: want 4, got 0; luz artificial sur-este: want 4, got 0; luz artificial nor-este: want 4, got 0; luz artificial nor-oeste: want 4, got 0; ventana cenital oeste: want 100, got 0; ventana cenital este: want 100, got 0; pantalla de sombreo cenital: want 50, got 0; recirculador centro: want 1, got 0; calefactores: want 1, got 0",,0.0,42.9,False,queue,,
