rule,start,end,minutes,peak,roof_max,side_max,shade_min,lights_max,open_delay_min,reaction,attribution,fog_during_s_per_min,fog_after_s_per_min
overtemp,2026-08-03 10:34:00,2026-08-03 11:08:00,35,46.5,100.0,100.0,,,29.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-03 11:49:00,2026-08-03 15:50:00,242,51.1,100.0,100.0,,,27.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-03 16:19:00,2026-08-03 16:52:00,34,46.1,0.0,0.0,,,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-04 12:59:00,2026-08-04 16:37:00,219,51.2,100.0,100.0,,,0.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-04 16:48:00,2026-08-04 17:31:00,44,51.2,100.0,100.0,,,32.0,late (32 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-04 17:41:00,2026-08-04 18:20:00,40,48.5,100.0,0.0,,,23.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-05 11:10:00,2026-08-05 12:51:00,102,50.3,100.0,100.0,,,96.0,late (96 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-05 13:10:00,2026-08-05 13:44:00,35,50.2,100.0,100.0,19.0,,29.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-05 14:05:00,2026-08-05 18:14:00,250,52.2,0.0,100.0,0.0,,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-06 12:13:00,2026-08-06 13:45:00,93,50.6,100.0,100.0,0.0,,86.0,late (86 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-06 14:03:00,2026-08-06 15:07:00,65,50.4,100.0,100.0,0.0,,57.0,late (57 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-06 15:24:00,2026-08-06 16:10:00,47,51.1,100.0,100.0,0.0,,40.0,late (40 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-06 16:29:00,2026-08-06 19:39:00,191,51.5,0.0,0.0,0.0,,,no reaction (vents never opened),clean evidence the rule did NOT act,,
